Cheval_clean;Poids_groupe;Cheval;Valeur_poids;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ABANDERADAZUN;550;ABANDERADA ZUN;550;1;0;0;13.0;0.0;0.0
ABANDERADAZUN;560;ABANDERADA ZUN;560;1;0;1;3.0;0.0;100.0
ABANDERADOHENN;570;ABANDERADO HENN;570;1;0;1;2.0;0.0;100.0
ABANDO;610;ABANDO;610;1;0;0;7.0;0.0;0.0
ABANDO;644;ABANDO;644;1;0;0;0.0;0.0;0.0
ABASHIRI;550;ABASHIRI;550;1;0;0;8.0;0.0;0.0
ABASHIRI;580;ABASHIRI;580;2;0;1;4.0;0.0;50.0
ABBA'SANTON;550;ABBA'S ANTON;550;1;0;0;4.0;0.0;0.0
ABBA'SANTON;570;ABBA'S ANTON;570;1;0;0;8.0;0.0;0.0
ABBA'SANTON;610;ABBA'S ANTON;610;1;0;1;3.0;0.0;100.0
ABBEYROAD;554;ABBEY ROAD;554;1;0;0;4.0;0.0;0.0
ABBEYROAD;560;ABBEY ROAD;560;1;0;1;3.0;0.0;100.0
ABBEYROAD;580;ABBEY ROAD;580;2;1;1;4.5;50.0;50.0
ABBOTSFORD;604;ABBOTSFORD;604;1;0;0;0.0;0.0;0.0
ABBOU;540;ABBOU;540;1;0;0;4.0;0.0;0.0
ABDULHAMID;520;ABDULHAMID;520;1;0;0;8.0;0.0;0.0
ABDULHAMID;574;ABDULHAMID;574;1;0;1;2.0;0.0;100.0
ABDULHAMID;580;ABDULHAMID;580;2;0;1;4.5;0.0;50.0
