Cheval_clean;Surface;Cheval;Valeur_surface;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ACAPULCO;GAZON;ACAPULCO;GAZON;2;0;0;8.0;0.0;0.0
ACAPULCOBAY;GAZON;ACAPULCO BAY;GAZON;2;0;0;12.0;0.0;0.0
ACARY;GAZON;ACARY;GAZON;4;1;1;6.0;25.0;25.0
ACATANA;GAZON;ACATANA;GAZON;2;0;1;4.5;0.0;50.0
ACCELERANDO;GAZON;ACCELERANDO;GAZON;2;0;0;9.0;0.0;0.0
ACCELERATEME;GAZON;ACCELERATE ME;GAZON;1;0;0;7.0;0.0;0.0
ACCENT;GAZON;ACCENT;GAZON;2;0;1;3.5;0.0;50.0
ACCEPTANCE;GAZON;ACCEPTANCE;GAZON;5;0;0;8.2;0.0;0.0
ACCLAIMEDFREEDOM;GAZON;ACCLAIMED FREEDOM;GAZON;2;0;1;5.0;0.0;50.0
ACCLAM;GAZON;ACCLAM;GAZON;12;0;1;8.416666666666666;0.0;8.3
ACCLAMATIONSTAR;GAZON;ACCLAMATION STAR;GAZON;2;0;0;8.0;0.0;0.0
ACCREDIT;GAZON;ACCREDIT;GAZON;1;0;0;0.0;0.0;0.0
ACCREDITED;GAZON;ACCREDITED;GAZON;1;0;0;0.0;0.0;0.0
ACE;GAZON;ACE;GAZON;6;0;0;5.5;0.0;0.0
ACECHAMPION;GAZON;ACE CHAMPION;GAZON;6;0;2;5.833333333333333;0.0;33.3
ACEEAGLE;GAZON;ACE EAGLE;GAZON;1;0;1;2.0;0.0;100.0
ACEFROMSPACE;GAZON;ACE FROM SPACE;GAZON;1;0;0;6.0;0.0;0.0
ACEJACKDEUCE;GAZON;ACE JACK DEUCE;GAZON;1;0;1;3.0;0.0;100.0
ACENTOFINAL;GAZON;ACENTO FINAL;GAZON;1;0;0;8.0;0.0;0.0
ACEOFSPADES;GAZON;ACE OF SPADES;GAZON;1;0;0;7.0;0.0;0.0
ACEPOWER;GAZON;ACE POWER;GAZON;6;0;1;6.333333333333333;0.0;16.7
ACEROCAT;GAZON;ACERO CAT;GAZON;1;0;0;6.0;0.0;0.0
ACEROSOFISTICADO;GAZON;ACERO SOFISTICADO;GAZON;1;0;0;10.0;0.0;0.0
ACEVENTURA;GAZON;ACE VENTURA;GAZON;1;0;1;2.0;0.0;100.0
ACEWAR;GAZON;ACE WAR;GAZON;6;2;6;2.0;33.3;100.0
ACHALUGO;GAZON;ACHALUGO;GAZON;1;0;0;6.0;0.0;0.0
ACHAPLINA;GAZON;ACHAPLINA;GAZON;2;0;0;9.5;0.0;0.0
ACHERON;GAZON;ACHERON;GAZON;2;0;2;3.0;0.0;100.0
ACHIEVE;GAZON;ACHIEVE;GAZON;1;1;1;1.0;100.0;100.0
ACHILEACHOPE;GAZON;ACHILEA CHOPE;GAZON;3;0;0;11.0;0.0;0.0
ACHISPADA;GAZON;ACHISPADA;GAZON;1;0;0;11.0;0.0;0.0
ACHRAFZEMMOUR;GAZON;ACHRAF ZEMMOUR;GAZON;1;0;0;5.0;0.0;0.0
ACHTER;GAZON;ACHTER;GAZON;1;0;0;10.0;0.0;0.0
ACIREALE;GAZON;ACIREALE;GAZON;3;0;2;2.6666666666666665;0.0;66.7
ACLIS;GAZON;ACLIS;GAZON;6;0;2;7.333333333333333;0.0;33.3
ACME;GAZON;ACME;GAZON;4;0;0;10.25;0.0;0.0
ACOSTADETODO;GAZON;A COSTA DE TODO;GAZON;2;2;2;1.0;100.0;100.0
ACOTANGO;GAZON;ACOTANGO;GAZON;9;3;6;3.0;33.3;66.7
ACOUNTACH;GAZON;A COUNTACH;GAZON;6;0;1;5.5;0.0;16.7
ACOUSTICAVE;GAZON;ACOUSTIC AVE;GAZON;2;0;0;2.5;0.0;0.0
ACQUAROSA;GAZON;ACQUA ROSA;GAZON;2;0;0;7.0;0.0;0.0
ACREGATE;GAZON;ACREGATE;GAZON;2;0;0;0.0;0.0;0.0
ACTAFOOL;GAZON;ACT A FOOL;GAZON;1;0;1;2.0;0.0;100.0
ACTINGLADY;GAZON;ACTING LADY;GAZON;1;1;1;1.0;100.0;100.0
ACTINGUP;GAZON;ACTING UP;GAZON;1;0;0;0.0;0.0;0.0
ACTION;GAZON;ACTION;GAZON;2;0;0;9.5;0.0;0.0
ACTIONDELIGHT;GAZON;ACTION DELIGHT;GAZON;1;0;1;3.0;0.0;100.0
ACTIONPOINT;GAZON;ACTION POINT;GAZON;5;0;1;8.8;0.0;20.0
ACTIONREACTION;GAZON;ACTION REACTION;GAZON;1;0;0;8.0;0.0;0.0
ACTIUS;GAZON;ACTIUS;GAZON;1;0;1;3.0;0.0;100.0
ACTO;GAZON;ACTO;GAZON;6;0;1;9.333333333333334;0.0;16.7
ACTOFKINDNESS;GAZON;ACT OF KINDNESS;GAZON;1;0;0;6.0;0.0;0.0
ACTRIZCITY;GAZON;ACTRIZ CITY;GAZON;2;0;0;7.0;0.0;0.0
ACURRUCAO;GAZON;ACURRUCAO;GAZON;1;0;0;0.0;0.0;0.0
ADAAYOFSCARLETT;GAZON;ADAAY OF SCARLETT;GAZON;2;0;2;2.0;0.0;100.0
ADACE;GAZON;ADACE;GAZON;1;0;0;6.0;0.0;0.0
ADAIYAD'OR;GAZON;ADAIYA D'OR;GAZON;2;0;0;8.5;0.0;0.0
ADALIDA;GAZON;ADALIDA;GAZON;1;0;0;4.0;0.0;0.0
ADALIE;GAZON;ADALIE;GAZON;1;0;0;4.0;0.0;0.0
ADAR;GAZON;ADAR;GAZON;1;0;0;10.0;0.0;0.0
ADAROSE;GAZON;ADA ROSE;GAZON;1;0;0;7.0;0.0;0.0
ADAUGHTERSLOVE;GAZON;A DAUGHTERS LOVE;GAZON;1;0;1;3.0;0.0;100.0
