Cheval_clean;Surface;Cheval;Valeur_surface;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ELPARADIGMA;GAZON;EL PARADIGMA;GAZON;2;0;0;7.5;0.0;0.0
ELPASOT;GAZON;EL PASO T;GAZON;1;0;1;2.0;0.0;100.0
ELPECADITO;GAZON;EL PECADITO;GAZON;1;0;0;5.0;0.0;0.0
ELPEQUENIO;GAZON;EL PEQUENIO;GAZON;5;0;0;8.8;0.0;0.0
ELPERRONEGRO;GAZON;EL PERRO NEGRO;GAZON;2;0;1;4.0;0.0;50.0
ELPICARO;GAZON;EL PICARO;GAZON;4;0;1;4.5;0.0;25.0
ELPITIN;GAZON;EL PITIN;GAZON;4;2;3;2.5;50.0;75.0
ELPRESIDENTE;GAZON;EL PRESIDENTE;GAZON;1;0;0;4.0;0.0;0.0
ELPROFESOR;GAZON;EL PROFESOR;GAZON;3;0;0;8.666666666666666;0.0;0.0
ELPROFESSOR;GAZON;EL PROFESSOR;GAZON;5;0;0;8.8;0.0;0.0
ELPROFESSORCHOP;GAZON;EL PROFESSOR CHOP;GAZON;13;1;6;5.076923076923077;7.7;46.2
ELPROFETA;GAZON;EL PROFETA;GAZON;1;0;0;4.0;0.0;0.0
ELPUERTOBERMEJO;GAZON;EL PUERTO BERMEJO;GAZON;1;1;1;1.0;100.0;100.0
ELQUETRIHUE;GAZON;EL QUETRIHUE;GAZON;1;0;1;2.0;0.0;100.0
ELQUINTRAL;GAZON;EL QUINTRAL;GAZON;1;0;0;9.0;0.0;0.0
ELRAAED;GAZON;ELRAAED;GAZON;1;0;0;0.0;0.0;0.0
ELRAFAGA;GAZON;EL RAFAGA;GAZON;2;0;2;2.0;0.0;100.0
ELRAYOPASS;GAZON;EL RAYO PASS;GAZON;1;0;0;0.0;0.0;0.0
ELRECTOR;GAZON;EL RECTOR;GAZON;1;1;1;1.0;100.0;100.0
ELREGENTO;GAZON;EL REGENTO;GAZON;11;3;3;5.090909090909091;27.3;27.3
ELRELEVANTE;GAZON;EL RELEVANTE;GAZON;2;0;0;6.0;0.0;0.0
ELRENACIDO;GAZON;EL RENACIDO;GAZON;3;1;2;3.6666666666666665;33.3;66.7
ELRESEROCONCAPA;GAZON;EL RESERO CON CAPA;GAZON;1;0;0;5.0;0.0;0.0
ELREYLEON;GAZON;EL REY LEON;GAZON;1;0;0;5.0;0.0;0.0
ELRIEL;GAZON;EL RIEL;GAZON;2;1;1;3.5;50.0;50.0
ELRISKO;GAZON;EL RISKO;GAZON;1;0;0;6.0;0.0;0.0
ELROMA;GAZON;ELROMA;GAZON;2;0;0;5.0;0.0;0.0
ELROMANCERO;GAZON;EL ROMANCERO;GAZON;3;0;1;2.3333333333333335;0.0;33.3
ELROTY;GAZON;EL ROTY;GAZON;3;0;1;7.333333333333333;0.0;33.3
ELRUFO;GAZON;EL RUFO;GAZON;1;0;0;5.0;0.0;0.0
ELSABLAZO;GAZON;EL SABLAZO;GAZON;1;0;1;2.0;0.0;100.0
ELSALVADOR;GAZON;EL SALVADOR;GAZON;2;0;0;4.0;0.0;0.0
ELSASS;GAZON;ELSASS;GAZON;1;0;0;0.0;0.0;0.0
ELSAUQUILLO;GAZON;EL SAUQUILLO;GAZON;1;0;0;7.0;0.0;0.0
ELSEBAAHORRATODO;GAZON;ELSEBAAHORRATODO;GAZON;8;2;4;3.125;25.0;50.0
ELSECURITY;GAZON;EL SECURITY;GAZON;2;0;1;4.0;0.0;50.0
ELSEMILLERO;GAZON;EL SEMILLERO;GAZON;1;0;1;3.0;0.0;100.0
ELSHAMAN;GAZON;EL SHAMAN;GAZON;1;0;0;8.0;0.0;0.0
ELSINSONTE;GAZON;EL SINSONTE;GAZON;1;0;0;4.0;0.0;0.0
ELSOMCENTAURO;GAZON;EL SOM CENTAURO;GAZON;4;0;0;11.0;0.0;0.0
ELSPARRING;GAZON;EL SPARRING;GAZON;1;0;0;5.0;0.0;0.0
ELSUENO;GAZON;EL SUENO;GAZON;2;0;2;2.5;0.0;100.0
ELSURENO;GAZON;EL SURENO;GAZON;2;1;2;2.0;50.0;100.0
ELTANQUEAGUS;GAZON;EL TANQUE AGUS;GAZON;5;1;1;5.8;20.0;20.0
ELTATAPANCHO;GAZON;EL TATA PANCHO;GAZON;5;1;2;2.6;20.0;40.0
ELTATUADO;GAZON;EL TATUADO;GAZON;11;4;7;3.3636363636363638;36.4;63.6
ELTELENO;GAZON;EL TELENO;GAZON;3;0;0;3.6666666666666665;0.0;0.0
ELTENISTA;GAZON;EL TENISTA;GAZON;3;0;0;9.0;0.0;0.0
ELTHOR;GAZON;EL THOR;GAZON;4;0;0;5.0;0.0;0.0
ELTIFFOSI;GAZON;EL TIFFOSI;GAZON;1;0;0;8.0;0.0;0.0
ELTIGRE;GAZON;EL TIGRE;GAZON;6;0;0;10.166666666666666;0.0;0.0
ELTIROLOCO;GAZON;EL TIRO LOCO;GAZON;1;0;0;8.0;0.0;0.0
ELTONOG;GAZON;EL TONO G;GAZON;4;0;2;3.5;0.0;50.0
ELTORERO;GAZON;EL TORERO;GAZON;5;0;3;3.0;0.0;60.0
ELTRIPLO;GAZON;EL TRIPLO;GAZON;2;1;2;2.0;50.0;100.0
ELTUBERSTORM;GAZON;EL TUBER STORM;GAZON;3;1;1;5.666666666666667;33.3;33.3
ELUFAN;GAZON;ELUFAN;GAZON;6;2;3;5.833333333333333;33.3;50.0
ELUNGIDO;GAZON;EL UNGIDO;GAZON;3;0;2;3.3333333333333335;0.0;66.7
ELUSIVEBELARDO;GAZON;ELUSIVE BELARDO;GAZON;6;0;0;6.0;0.0;0.0
ELUSIVEFOOT;GAZON;ELUSIVE FOOT;GAZON;4;1;1;4.25;25.0;25.0
ELUSIVEGLORY;GAZON;ELUSIVE GLORY;GAZON;2;0;1;4.5;0.0;50.0
ELUSIVENELSON;GAZON;ELUSIVE NELSON;GAZON;9;1;2;5.555555555555555;11.1;22.2
ELUSIVETREVOR;GAZON;ELUSIVE TREVOR;GAZON;1;0;0;5.0;0.0;0.0
ELUSIVEWAY;GAZON;ELUSIVE WAY;GAZON;6;2;4;2.0;33.3;66.7
ELVEGAS;GAZON;EL VEGAS;GAZON;10;0;2;5.5;0.0;20.0
ELVENECO;GAZON;EL VENECO;GAZON;1;0;0;4.0;0.0;0.0
ELVETICA;GAZON;ELVETICA;GAZON;1;0;0;9.0;0.0;0.0
ELVICANDY;GAZON;ELVI CANDY;GAZON;1;0;1;2.0;0.0;100.0
ELVIEJOLAUCHA;GAZON;EL VIEJO LAUCHA;GAZON;4;0;0;6.25;0.0;0.0
ELVIENTOZONDA;GAZON;EL VIENTO ZONDA;GAZON;3;1;1;4.333333333333333;33.3;33.3
ELVIGRACE;GAZON;ELVI GRACE;GAZON;2;0;0;7.5;0.0;0.0
ELVIRIA;GAZON;ELVIRIA;GAZON;1;0;1;3.0;0.0;100.0
ELVIS;GAZON;ELVIS;GAZON;2;0;1;3.5;0.0;50.0
ELVISBETRUE;GAZON;ELVIS BE TRUE;GAZON;1;0;0;7.0;0.0;0.0
ELVISECURITY;GAZON;ELVI SECURITY;GAZON;1;0;0;6.0;0.0;0.0
ELVISIR;GAZON;EL VISIR;GAZON;1;0;0;10.0;0.0;0.0
ELVISSONG;GAZON;ELVIS SONG;GAZON;1;0;0;6.0;0.0;0.0
ELVITAS;GAZON;ELVITAS;GAZON;2;0;0;7.5;0.0;0.0
ELWHISKYCUANDO;GAZON;EL WHISKY CUANDO;GAZON;1;0;0;7.0;0.0;0.0
ELXALADO;GAZON;EL XALADO;GAZON;1;0;0;6.0;0.0;0.0
ELYABRI;GAZON;ELYABRI;GAZON;2;1;1;4.5;50.0;50.0
ELYSIANMEADOWS;GAZON;ELYSIAN MEADOWS;GAZON;1;0;0;6.0;0.0;0.0
ELYTOFGOLD;GAZON;ELYT OF GOLD;GAZON;3;0;0;10.666666666666666;0.0;0.0
ELYUNKE;GAZON;EL YUNKE;GAZON;1;0;0;7.0;0.0;0.0
ELZARKADA;GAZON;EL ZARKA D.A.;GAZON;2;0;1;4.0;0.0;50.0
EMACOOCK;GAZON;EMA COOCK;GAZON;1;1;1;1.0;100.0;100.0
EMALVI;GAZON;EMALVI;GAZON;2;0;1;5.5;0.0;50.0
EMANUELRICH;GAZON;EMANUEL RICH;GAZON;1;0;0;5.0;0.0;0.0
EMBARKED;GAZON;EMBARKED;GAZON;2;0;0;8.0;0.0;0.0
EMBIEZ;GAZON;EMBIEZ;GAZON;5;2;4;2.4;40.0;80.0
EMBLAZE;GAZON;EMBLAZE;GAZON;1;0;0;0.0;0.0;0.0
EMBLAZON;GAZON;EMBLAZON;GAZON;6;3;3;5.5;50.0;50.0
EMBLEMATICU;GAZON;EMBLEMATICU;GAZON;3;0;2;3.3333333333333335;0.0;66.7
EMBOZADARIM;GAZON;EMBOZADA RIM;GAZON;1;1;1;1.0;100.0;100.0
EMBRACEABERDEEN;GAZON;EMBRACE ABERDEEN;GAZON;2;0;0;7.5;0.0;0.0
EMBRACEIT;GAZON;EMBRACE IT;GAZON;1;0;0;5.0;0.0;0.0
EMBRACES;GAZON;EMBRACES;GAZON;2;0;1;4.5;0.0;50.0
EMBRUJADAGIRL;GAZON;EMBRUJADA GIRL;GAZON;1;0;1;3.0;0.0;100.0
EMELY;GAZON;EMELY;GAZON;1;0;0;4.0;0.0;0.0
EMERALDARMY;GAZON;EMERALD ARMY;GAZON;1;0;0;6.0;0.0;0.0
EMERGENCE;GAZON;EMERGENCE;GAZON;2;0;0;2.0;0.0;0.0
EMERGENT;GAZON;EMERGENT;GAZON;3;1;2;2.3333333333333335;33.3;66.7
EMERGINGMARKET;GAZON;EMERGING MARKET;GAZON;2;0;0;2.5;0.0;0.0
EMERGINGSTAR;GAZON;EMERGING STAR;GAZON;1;0;0;10.0;0.0;0.0
EMERYDOWN;GAZON;EMERY DOWN;GAZON;1;0;0;8.0;0.0;0.0
EMFOUR;GAZON;EM FOUR;GAZON;6;2;3;3.0;33.3;50.0
EMILIALUNA;GAZON;EMILIA LUNA;GAZON;1;1;1;1.0;100.0;100.0
EMINENCEGRISE;GAZON;EMINENCE GRISE;GAZON;5;1;1;7.8;20.0;20.0
EMINENCY;GAZON;EMINENCY;GAZON;1;0;0;4.0;0.0;0.0
EMINENTPOWER;GAZON;EMINENT POWER;GAZON;2;0;1;3.5;0.0;50.0
EMIRATESROAD;GAZON;EMIRATES ROAD;GAZON;1;0;1;2.0;0.0;100.0
EMIRATESSONG;GAZON;EMIRATES SONG;GAZON;1;0;1;3.0;0.0;100.0
EMISORAMUNDIAL;GAZON;EMISORA MUNDIAL;GAZON;2;0;1;3.0;0.0;50.0
EMIT;GAZON;EMIT;GAZON;1;0;0;4.0;0.0;0.0
EMJAYTWENTYTHREE;GAZON;EMJAYTWENTYTHREE;GAZON;2;0;0;2.5;0.0;0.0
EMMA;GAZON;EMMA;GAZON;2;1;2;1.5;50.0;100.0
EMMADANCE;GAZON;EMMA DANCE;GAZON;2;0;1;3.5;0.0;50.0
EMMAETHIQUETA;GAZON;EMMA ETHIQUETA;GAZON;1;0;1;2.0;0.0;100.0
EMMALINDA;GAZON;EMMA LINDA;GAZON;1;0;0;4.0;0.0;0.0
EMMANOVELA;GAZON;EMMA NOVELA;GAZON;1;0;0;7.0;0.0;0.0
EMMASTAR;GAZON;EMMA STAR;GAZON;1;0;0;6.0;0.0;0.0
EMMATOM;GAZON;EMMA TOM;GAZON;1;0;0;7.0;0.0;0.0
EMMAVAGA;GAZON;EMMA VAGA;GAZON;1;0;0;7.0;0.0;0.0
EMMDAY;GAZON;EMM DAY;GAZON;3;0;1;3.3333333333333335;0.0;33.3
EMMECI;GAZON;EMMECI;GAZON;3;0;1;8.0;0.0;33.3
EMMGUAYAQUIL;GAZON;EMMGUAYAQUIL;GAZON;2;0;0;0.0;0.0;0.0
EMMYUGO;GAZON;EMM YUGO;GAZON;3;0;1;2.3333333333333335;0.0;33.3
EMOTION;GAZON;EMOTION;GAZON;3;0;0;4.666666666666667;0.0;0.0
EMOTIONFRONT;GAZON;EMOTION FRONT;GAZON;2;0;0;8.0;0.0;0.0
EMOTIONKEY;GAZON;EMOTION KEY;GAZON;1;0;0;9.0;0.0;0.0
EMOTIONLYAVAILBLE;GAZON;EMOTIONLYAVAILBLE;GAZON;1;0;0;0.0;0.0;0.0
EMOTIONPRIZE;GAZON;EMOTION PRIZE;GAZON;2;1;1;5.0;50.0;50.0
EMOTIVO;GAZON;EMOTIVO;GAZON;3;0;2;4.0;0.0;66.7
EMPARENTADAYPICO;GAZON;EMPARENTADA Y PICO;GAZON;4;0;0;5.75;0.0;0.0
EMPATH;GAZON;EMPATH;GAZON;1;0;0;5.0;0.0;0.0
EMPENOSORIM;GAZON;EMPENOSO RIM;GAZON;2;0;0;9.0;0.0;0.0
EMPERADORAFEVER;GAZON;EMPERADORA FEVER;GAZON;2;0;2;2.5;0.0;100.0
EMPEROR'SLOGIC;GAZON;EMPEROR'S LOGIC;GAZON;1;0;0;9.0;0.0;0.0
EMPEROR'SSTAR;GAZON;EMPEROR'S STAR;GAZON;1;0;1;3.0;0.0;100.0
EMPERORNIGHT;GAZON;EMPEROR NIGHT;GAZON;1;0;0;8.0;0.0;0.0
EMPERORSPIRIT;GAZON;EMPEROR SPIRIT;GAZON;2;0;1;8.5;0.0;50.0
EMPEZARDENUEVO;GAZON;EMPEZAR DE NUEVO;GAZON;1;0;0;5.0;0.0;0.0
EMPIRESTATEOFMIND;GAZON;EMPIRESTATEOFMIND;GAZON;1;0;0;16.0;0.0;0.0
EMPIRICAL;GAZON;EMPIRICAL;GAZON;1;0;0;8.0;0.0;0.0
EMPLOYED;GAZON;EMPLOYED;GAZON;1;0;0;8.0;0.0;0.0
EMPRESSGIRL;GAZON;EMPRESS GIRL;GAZON;1;0;1;3.0;0.0;100.0
EMPRESSLOVE;GAZON;EMPRESS LOVE;GAZON;1;0;0;5.0;0.0;0.0
EMPRESSOFLIGHT;GAZON;EMPRESS OF LIGHT;GAZON;4;0;1;3.75;0.0;25.0
EMPRESSSTAR;GAZON;EMPRESS STAR;GAZON;4;0;0;8.75;0.0;0.0
EMPTYSTREET;GAZON;EMPTY STREET;GAZON;4;0;1;5.0;0.0;25.0
ENBAKIRUN;GAZON;ENBAKIRUN;GAZON;5;0;3;2.6;0.0;60.0
ENCANADO;GAZON;ENCANADO;GAZON;5;0;0;7.2;0.0;0.0
ENCANTADOTEXAN;GAZON;ENCANTADO TEXAN;GAZON;1;0;0;7.0;0.0;0.0
ENCANTAR;GAZON;ENCANTAR;GAZON;1;0;1;2.0;0.0;100.0
ENCANTOVELOZ;GAZON;ENCANTO VELOZ;GAZON;3;0;0;7.333333333333333;0.0;0.0
ENCELADUS;GAZON;ENCELADUS;GAZON;1;1;1;1.0;100.0;100.0
ENCHANTANT;GAZON;EN CHANTANT;GAZON;3;1;1;5.333333333333333;33.3;33.3
ENCHANTEDTALES;GAZON;ENCHANTED TALES;GAZON;1;0;0;6.0;0.0;0.0
ENCHANTINGTALE;GAZON;ENCHANTING TALE;GAZON;1;1;1;1.0;100.0;100.0
ENCHATEAUROUX;GAZON;EN CHATEAUROUX;GAZON;6;1;1;4.333333333333333;16.7;16.7
ENCINITAS;GAZON;ENCINITAS;GAZON;3;0;0;6.666666666666667;0.0;0.0
ENCORERIDGE;GAZON;ENCORE RIDGE;GAZON;4;1;1;7.25;25.0;25.0
ENCOUNTERED;GAZON;ENCOUNTERED;GAZON;2;0;1;3.5;0.0;50.0
ENCRIPTADA;GAZON;ENCRIPTADA;GAZON;2;0;0;15.0;0.0;0.0
ENCRYPTION;GAZON;ENCRYPTION;GAZON;1;1;1;1.0;100.0;100.0
ENDEARED;GAZON;ENDEARED;GAZON;5;0;3;5.4;0.0;60.0
ENDEAVOR;GAZON;ENDEAVOR;GAZON;1;1;1;1.0;100.0;100.0
ENDEIA;GAZON;ENDEIA;GAZON;1;0;0;4.0;0.0;0.0
ENDLESSNIGHT;GAZON;ENDLESS NIGHT;GAZON;1;0;0;8.0;0.0;0.0
ENDLESSVICTORY;GAZON;ENDLESS VICTORY;GAZON;2;0;0;7.0;0.0;0.0
ENDLESSWHISPER;GAZON;ENDLESS WHISPER;GAZON;1;0;0;4.0;0.0;0.0
ENDOFASTORM;GAZON;ENDOFASTORM;GAZON;2;0;0;6.0;0.0;0.0
ENDOFROMANCE;GAZON;END OF ROMANCE;GAZON;1;0;0;4.0;0.0;0.0
ENDOFSPRING;GAZON;END OF SPRING;GAZON;3;1;2;3.6666666666666665;33.3;66.7
ENDOFTHEROAD;GAZON;END OF THE ROAD;GAZON;1;0;0;9.0;0.0;0.0
ENDORPHIN;GAZON;ENDORPHIN;GAZON;1;0;0;4.0;0.0;0.0
ENDORRYE;GAZON;ENDOR RYE;GAZON;1;0;1;3.0;0.0;100.0
ENDORSE;GAZON;ENDORSE;GAZON;1;0;0;7.0;0.0;0.0
ENDORSEMENT;GAZON;ENDORSEMENT;GAZON;1;0;1;2.0;0.0;100.0
ENDORSRULLER;GAZON;ENDORS RULLER;GAZON;1;0;0;7.0;0.0;0.0
ENDOZING;GAZON;ENDOZING;GAZON;2;0;0;8.5;0.0;0.0
ENDUED;GAZON;ENDUED;GAZON;4;1;2;4.0;25.0;50.0
ENDURANCEEXPRESS;GAZON;ENDURANCE EXPRESS;GAZON;3;0;0;8.0;0.0;0.0
ENDURINGSTORY;GAZON;ENDURING STORY;GAZON;1;0;0;8.0;0.0;0.0
ENDUSCIPFAL;GAZON;ENDUSCIP FAL;GAZON;3;0;0;6.333333333333333;0.0;0.0
ENDUSSIANFAL;GAZON;ENDUSSIAN FAL;GAZON;2;1;1;0.5;50.0;50.0
ENEA;GAZON;ENEA;GAZON;2;1;1;2.5;50.0;50.0
ENEILLENFAL;GAZON;ENEILLEN FAL;GAZON;1;0;1;3.0;0.0;100.0
ENEIZARRA;GAZON;ENEIZARRA;GAZON;1;0;1;2.0;0.0;100.0
ENEMY;GAZON;ENEMY;GAZON;1;0;0;9.0;0.0;0.0
ENEMYAGENT;GAZON;ENEMY AGENT;GAZON;1;1;1;1.0;100.0;100.0
ENERCAPFAL;GAZON;ENERCAP FAL;GAZON;1;0;0;0.0;0.0;0.0
ENERGIAFEVER;GAZON;ENERGIA FEVER;GAZON;2;0;0;8.5;0.0;0.0
ENERGIZERFAL;GAZON;ENERGIZER FAL;GAZON;2;1;2;1.5;50.0;100.0
ENERGIZING;GAZON;ENERGIZING;GAZON;1;0;1;2.0;0.0;100.0
ENERGYDRAGON;GAZON;ENERGY DRAGON;GAZON;1;0;1;2.0;0.0;100.0
ENERGYFLOWS;GAZON;ENERGY FLOWS;GAZON;1;0;1;3.0;0.0;100.0
ENETA;GAZON;ENETA;GAZON;3;0;0;7.0;0.0;0.0
ENFANTPARADIS;GAZON;ENFANT PARADIS;GAZON;7;0;1;7.285714285714286;0.0;14.3
ENFJAAR;GAZON;ENFJAAR;GAZON;1;0;0;8.0;0.0;0.0
ENGLA;GAZON;ENGLA;GAZON;7;1;4;3.7142857142857144;14.3;57.1
ENGLEDIVE;GAZON;ENGLEDIVE;GAZON;2;0;0;5.0;0.0;0.0
ENGLISHLAW;GAZON;ENGLISH LAW;GAZON;1;1;1;1.0;100.0;100.0
ENGLISHMAN;GAZON;ENGLISHMAN;GAZON;3;1;2;3.0;33.3;66.7
ENGLISHOAK;GAZON;ENGLISH OAK;GAZON;4;2;2;2.0;50.0;50.0
ENGLISHROCKER;GAZON;ENGLISH ROCKER;GAZON;1;0;0;4.0;0.0;0.0
ENGLISHTIME;GAZON;ENGLISH TIME;GAZON;1;1;1;1.0;100.0;100.0
ENGLOBO;GAZON;EN GLOBO;GAZON;1;0;0;0.0;0.0;0.0
ENGREIDOCAT;GAZON;ENGREIDO CAT;GAZON;1;0;0;0.0;0.0;0.0
ENGUALICHAO;GAZON;ENGUALICHAO;GAZON;1;0;1;3.0;0.0;100.0
ENIGMATIC;GAZON;ENIGMATIC;GAZON;2;0;0;6.5;0.0;0.0
ENJOYDANCING;GAZON;ENJOY DANCING;GAZON;3;1;2;4.0;33.3;66.7
ENJOYGOLF;GAZON;ENJOY GOLF;GAZON;2;0;1;7.0;0.0;50.0
ENJOYINGMAN;GAZON;ENJOYING MAN;GAZON;1;0;0;8.0;0.0;0.0
ENLARIBERA;GAZON;EN LA RIBERA;GAZON;3;0;0;5.666666666666667;0.0;0.0
ENMARIEFAL;GAZON;ENMARIE FAL;GAZON;4;0;0;5.25;0.0;0.0
ENMISUENOS;GAZON;EN MI SUENOS;GAZON;1;0;0;4.0;0.0;0.0
ENOLAGREY;GAZON;ENOLA GREY;GAZON;1;0;0;0.0;0.0;0.0
ENORASENORA;GAZON;ENORA SENORA;GAZON;8;1;2;3.25;12.5;25.0
ENOTECA;GAZON;ENOTECA;GAZON;4;1;2;3.25;25.0;50.0
ENPASSANT;GAZON;ENPASSANT;GAZON;3;0;1;5.666666666666667;0.0;33.3
ENPLEINAIR;GAZON;EN PLEIN AIR;GAZON;3;0;0;6.666666666666667;0.0;0.0
ENPUNTASDEPIE;GAZON;EN PUNTAS DE PIE;GAZON;3;0;0;7.666666666666667;0.0;0.0
ENROSE;GAZON;EN ROSE;GAZON;1;0;0;0.0;0.0;0.0
ENROSEFAL;GAZON;ENROSE FAL;GAZON;1;0;0;15.0;0.0;0.0
ENSINTONIA;GAZON;EN SINTONIA;GAZON;1;0;0;8.0;0.0;0.0
ENSLEY;GAZON;ENSLEY;GAZON;2;0;1;1.0;0.0;50.0
ENSMARTFAL;GAZON;ENSMART FAL;GAZON;1;0;0;4.0;0.0;0.0
ENSOLEDAD;GAZON;EN SOLEDAD;GAZON;1;0;0;10.0;0.0;0.0
ENSUED;GAZON;ENSUED;GAZON;2;0;0;5.0;0.0;0.0
ENSUSPIRO;GAZON;EN SUSPIRO;GAZON;3;0;1;4.333333333333333;0.0;33.3
ENTERPRISINGLY;GAZON;ENTERPRISINGLY;GAZON;1;0;0;10.0;0.0;0.0
ENTERSANDMAN;GAZON;ENTER SANDMAN;GAZON;1;1;1;1.0;100.0;100.0
ENTERTHECLUB;GAZON;ENTER THE CLUB;GAZON;1;0;1;2.0;0.0;100.0
ENTHRALLED;GAZON;ENTHRALLED;GAZON;9;0;4;4.555555555555555;0.0;44.4
ENTHUSIUM;GAZON;ENTHUSIUM;GAZON;3;0;0;9.0;0.0;0.0
ENTLEBUCH;GAZON;ENTLEBUCH;GAZON;4;0;1;6.25;0.0;25.0
ENTREGUENLAGUITA;GAZON;ENTREGUEN LA GUITA;GAZON;2;1;1;5.5;50.0;50.0
ENTRELOSDOS;GAZON;ENTRE LOS DOS;GAZON;3;1;2;3.3333333333333335;33.3;66.7
ENTRENEGROS;GAZON;ENTRE NEGROS;GAZON;2;1;2;1.5;50.0;100.0
ENTREPARENTESIS;GAZON;ENTRE PARENTESIS;GAZON;4;0;0;6.5;0.0;0.0
ENTREVEROMALEVO;GAZON;ENTREVERO MALEVO;GAZON;2;0;0;6.0;0.0;0.0
ENTREVISTADOTOM;GAZON;ENTREVISTADO TOM;GAZON;2;0;1;4.5;0.0;50.0
ENUNRINCON;GAZON;EN UN RINCON;GAZON;1;0;0;4.0;0.0;0.0
ENVALDIVIA;GAZON;EN VALDIVIA;GAZON;1;0;0;6.0;0.0;0.0
ENVECES;GAZON;EN VECES;GAZON;1;0;0;7.0;0.0;0.0
ENVIADABIGTIME;GAZON;ENVIADA BIGTIME;GAZON;2;0;1;4.0;0.0;50.0
ENVIDIADA;GAZON;ENVIDIADA;GAZON;1;0;0;4.0;0.0;0.0
ENVIDIOSOFRANK;GAZON;ENVIDIOSO FRANK;GAZON;2;0;0;5.0;0.0;0.0
ENVISION;GAZON;ENVISION;GAZON;1;0;0;0.0;0.0;0.0
ENWELLFAL;GAZON;EN WELL FAL;GAZON;1;0;0;12.0;0.0;0.0
ENZIAN;GAZON;ENZIAN;GAZON;1;0;0;5.0;0.0;0.0
EOSTRE;GAZON;EOSTRE;GAZON;3;1;2;3.6666666666666665;33.3;66.7
EPASSION;GAZON;E PASSION;GAZON;1;0;0;11.0;0.0;0.0
EPHESUS;GAZON;EPHESUS;GAZON;3;1;2;2.6666666666666665;33.3;66.7
EPI;GAZON;EPI;GAZON;4;0;2;3.0;0.0;50.0
EPICLADYLUCK;GAZON;EPIC LADY LUCK;GAZON;1;0;1;3.0;0.0;100.0
EPICO;GAZON;EPICO;GAZON;1;0;1;3.0;0.0;100.0
EPICPOET;GAZON;EPIC POET;GAZON;2;0;1;3.5;0.0;50.0
EPICPRANKSTER;GAZON;EPIC PRANKSTER;GAZON;1;0;0;5.0;0.0;0.0
EPICROMANCE;GAZON;EPIC ROMANCE;GAZON;1;0;0;0.0;0.0;0.0
EPICSUMMER;GAZON;EPIC SUMMER;GAZON;2;0;0;5.0;0.0;0.0
EPICURIANLAD;GAZON;EPICURIAN LAD;GAZON;2;0;1;7.5;0.0;50.0
EPICURO;GAZON;EPICURO;GAZON;1;0;0;4.0;0.0;0.0
EPIFAGNA;GAZON;EPIFAGNA;GAZON;4;1;2;2.25;25.0;50.0
EPIGRAM;GAZON;EPIGRAM;GAZON;1;0;0;0.0;0.0;0.0
EPITYRUM;GAZON;EPITYRUM;GAZON;1;0;0;11.0;0.0;0.0
EPOCHERA;GAZON;EPOCH ERA;GAZON;1;0;0;4.0;0.0;0.0
EPOKUNE;GAZON;EPOKUNE;GAZON;2;0;0;9.0;0.0;0.0
EPONADESMOTTES;GAZON;EPONA DES MOTTES;GAZON;1;0;0;10.0;0.0;0.0
EPONINE;GAZON;EPONINE;GAZON;2;1;2;1.5;50.0;100.0
EPSOMNAVYCEN;GAZON;EPSOM NAVY CEN;GAZON;1;0;0;10.0;0.0;0.0
EQUADOR;GAZON;EQUADOR;GAZON;1;0;0;0.0;0.0;0.0
EQUALBAMB;GAZON;EQUAL BAMB;GAZON;1;0;0;5.0;0.0;0.0
EQUALHIDDEN;GAZON;EQUAL HIDDEN;GAZON;1;1;1;1.0;100.0;100.0
EQUALHOPE;GAZON;EQUAL HOPE;GAZON;1;0;0;0.0;0.0;0.0
EQUALMOSTAZA;GAZON;EQUAL MOSTAZA;GAZON;2;0;1;3.5;0.0;50.0
EQUALROMANO;GAZON;EQUAL ROMANO;GAZON;1;1;1;1.0;100.0;100.0
EQUALTEJANA;GAZON;EQUAL TEJANA;GAZON;1;0;1;3.0;0.0;100.0
EQUALYOGA;GAZON;EQUAL YOGA;GAZON;1;0;0;4.0;0.0;0.0
EQUILIBRIUM;GAZON;EQUILIBRIUM;GAZON;1;1;1;1.0;100.0;100.0
EQUINDI;GAZON;EQUINDI;GAZON;1;0;0;6.0;0.0;0.0
EQUIPAZO;GAZON;EQUIPAZO;GAZON;3;0;0;5.333333333333333;0.0;0.0
EQUITAS;GAZON;EQUITAS;GAZON;1;1;1;1.0;100.0;100.0
EQUULEUS;GAZON;EQUULEUS;GAZON;5;1;3;3.8;20.0;60.0
ERALA;GAZON;ERALA;GAZON;2;0;1;3.5;0.0;50.0
ERDENALI;GAZON;ERDENALI;GAZON;4;3;4;1.5;75.0;100.0
ERESDULCEAMOR;GAZON;ERES DULCE AMOR;GAZON;1;0;0;9.0;0.0;0.0
ERICINA;GAZON;ERICINA;GAZON;4;1;2;4.75;25.0;50.0
ERIDITADOVER;GAZON;ERIDITA DOVER;GAZON;7;1;2;6.428571428571429;14.3;28.6
ERINA;GAZON;ERINA;GAZON;2;1;1;3.5;50.0;50.0
ERKAN;GAZON;ERKAN;GAZON;1;0;0;5.0;0.0;0.0
ERLING;GAZON;ERLING;GAZON;6;1;1;7.5;16.7;16.7
ERLKOENIG;GAZON;ERLKOENIG;GAZON;5;0;0;6.6;0.0;0.0
