Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
AABICHA;MROMARY;AABICHA;M.ROMARY;1;0;0;0.0;0.0
AAJEJ;KIERANSHOEMARK;AAJEJ;KIERAN SHOEMARK;1;0;0;0.0;0.0
AALAHAB;RICHARDMULLEN;AA LAHAB;RICHARD MULLEN;1;0;0;0.0;0.0
AALAHAB;SAMHITCHCOTT;AA LAHAB;SAM HITCHCOTT;1;0;1;0.0;100.0
AALTO;RYANMOORE;AALTO;RYAN MOORE;1;0;1;0.0;100.0
AALTO;WILLIAMBUICK;AALTO;WILLIAM BUICK;1;1;1;100.0;100.0
AAMERICTESPECSO;ATZENIA;A AMERIC TE SPECSO;ATZENI A.;3;0;0;0.0;0.0
AAMERICTESPECSO;AVDULLAB;A AMERIC TE SPECSO;AVDULLA B.;3;0;0;0.0;0.0
AAMERICTESPECSO;MCMONAGLEDB;A AMERIC TE SPECSO;MCMONAGLE D.B.;2;0;0;0.0;0.0
AARXBURN;DANIELTUDHOPE;AA RX BURN;DANIEL TUDHOPE;1;0;0;0.0;0.0
AATRUFFLE;MFOULON;AA TRUFFLE;M.FOULON;1;0;0;0.0;0.0
ABABORFEVER;FEDERICOFABIANPIRIZ;ABABOR FEVER;FEDERICO FABIAN PIRIZ;2;1;1;50.0;50.0
ABACAB;PABLODAMIANCARRIZO;ABACAB;PABLO DAMIAN CARRIZO;1;0;0;0.0;0.0
ABACHI;BENJAMINMARIE;ABACHI;BENJAMIN MARIE;1;0;0;0.0;0.0
ABACUR;IMENDIZABAL;ABACUR;I.MENDIZABAL;4;0;1;0.0;25.0
ABACUR;MFOULON;ABACUR;M.FOULON;4;0;0;0.0;0.0
ABACUR;MPROTTI;ABACUR;M.PROTTI;1;0;0;0.0;0.0
ABACUS;RENEPIECHULEK;ABACUS;RENE PIECHULEK;3;1;1;33.3;33.3
ABANA;MIGUELLOPEZ;ABANA;MIGUEL LOPEZ;1;0;0;0.0;0.0
ABANDERADAZUN;EDISONRODRIGOROSAS;ABANDERADA ZUN;EDISON RODRIGO ROSAS;2;0;1;0.0;50.0
ABANDERADOHENN;PABLODAMIANCARRIZO;ABANDERADO HENN;PABLO DAMIAN CARRIZO;1;0;1;0.0;100.0
ABANDO;SAFFIEOSBORNE;ABANDO;SAFFIE OSBORNE;1;0;0;0.0;0.0
ABANDO;WILLIAMCARVER;ABANDO;WILLIAM CARVER;1;0;0;0.0;0.0
ABASHIRI;WBUICK;ABASHIRI;W BUICK;1;0;0;0.0;0.0
ABASHIRI;WILLIAMBUICK;ABASHIRI;WILLIAM BUICK;2;0;1;0.0;50.0
ABBA'SANTON;AMANNA-LENAWEIDLER;ABBA'S ANTON;AM.ANNA-LENA WEIDLER;2;0;0;0.0;0.0
ABBA'SANTON;EDUARDOPEDROZA;ABBA'S ANTON;EDUARDO PEDROZA;1;0;1;0.0;100.0
ABBEYROAD;AORANI;ABBEY ROAD;A.ORANI;1;1;1;100.0;100.0
ABBEYROAD;CDEMURO;ABBEY ROAD;C.DEMURO;2;0;1;0.0;50.0
ABBEYROAD;MBARZALONA;ABBEY ROAD;M.BARZALONA;1;0;0;0.0;0.0
ABBOTSFORD;COLINKEANE;ABBOTSFORD;COLIN KEANE;1;0;0;0.0;0.0
ABBOU;MADIDERRICK;ABBOU;MADI DERRICK;1;0;0;0.0;0.0
ABDULHAMID;DAVIDLISKA;ABDULHAMID;DAVID LISKA;1;0;1;0.0;100.0
ABDULHAMID;ERHANYAVUZ;ABDULHAMID;ERHAN YAVUZ;1;0;0;0.0;0.0
ABDULHAMID;MICHALABIK;ABDULHAMID;MICHAL ABIK;1;0;0;0.0;0.0
ABDULHAMID;THOREHAMMER-HANSEN;ABDULHAMID;THORE HAMMER-HANSEN;1;0;1;0.0;100.0
ABEARAFFAIR;SEANLEVEY;A BEAR AFFAIR;SEAN LEVEY;2;1;1;50.0;50.0
ABEAUREGARD;DPROVOST;A BEAUREGARD;D.PROVOST;5;0;0;0.0;0.0
ABELARDF;APOUCHIN;ABELARD F;A.POUCHIN;1;0;0;0.0;0.0
ABELARDF;BFLAMENT;ABELARD F;B.FLAMENT;1;0;0;0.0;0.0
ABELARDF;BKALYSBEKUULU;ABELARD F;B.KALYSBEK UULU;1;1;1;100.0;100.0
ABELARDF;LBOISSEAU;ABELARD F;L.BOISSEAU;2;0;0;0.0;0.0
ABELINOC;FEDERICOFABIANPIRIZ;ABELINO C;FEDERICO FABIAN PIRIZ;1;0;0;0.0;0.0
ABIAT;EHARDOUIN;ABIAT;E.HARDOUIN;4;1;2;25.0;50.0
ABIAT;LPOGGIONOVO;ABIAT;L.POGGIONOVO;1;0;0;0.0;0.0
ABIAT;TTRULLIER;ABIAT;T.TRULLIER;1;0;0;0.0;0.0
ABIEL;ALEXISEDUARDOCORDEROMESIAS;ABIEL;ALEXIS EDUARDO CORDERO MESIAS;2;0;0;0.0;0.0
ABIEL;JUANAINOSTROZA;ABIEL;JUAN A. INOSTROZA;1;0;0;0.0;0.0
ABIENTOT;JVELAZQUEZ;ABIENTOT;J VELAZQUEZ;1;0;1;0.0;100.0
ABIGAIL;MFRANCO;ABIGAIL;M FRANCO;1;0;1;0.0;100.0
ABIGAILADAMS;AGUSTINEZEQUIELLEINES;ABIGAIL ADAMS;AGUSTIN EZEQUIEL LEINES;1;0;0;0.0;0.0
ABIGAILADAMS;RESERVISTE4;ABIGAIL ADAMS;RESERVISTE 4;1;0;0;0.0;0.0
ABLEQUEEN;SIBYLLEVOGT;ABLE QUEEN;SIBYLLE VOGT;1;0;0;0.0;0.0
ABLETAI;WAYNELORDAN;ABLETAI;WAYNE LORDAN;1;0;0;0.0;0.0
ABLON;SEANLEVEY;ABLON;SEAN LEVEY;2;1;2;50.0;100.0
ABOMBADA;BENJAMINRODRIGOTRONCOSO;ABOMBADA;BENJAMIN RODRIGO TRONCOSO;1;0;0;0.0;0.0
ABOMBADA;JORGEEDUARDOZUNIGA;ABOMBADA;JORGE EDUARDO ZUNIGA;1;0;0;0.0;0.0
ABOURBONFORTOBY;IORTIZ,JR;A BOURBON FOR TOBY;I ORTIZ, JR.;1;0;1;0.0;100.0
ABOYNAMEDSUSIE;MGUYON;A BOY NAMED SUSIE;M.GUYON;1;0;0;0.0;0.0
ABOYNAMEDSUSIE;OISINMURPHY;A BOY NAMED SUSIE;OISIN MURPHY;1;0;1;0.0;100.0
ABRAHAMLINCOLN;RYANMOORE;ABRAHAM LINCOLN;RYAN MOORE;1;0;1;0.0;100.0
ABRAKADABRA;MGRANDIN;ABRAKADABRA;M.GRANDIN;1;0;0;0.0;0.0
ABRAMSCREEK;MMECLAUDIAWENDEL;ABRAMS CREEK;MME CLAUDIA WENDEL;2;0;0;0.0;0.0
ABRASSO;FVALLESKAR;ABRASSO;F.VALLE SKAR;1;0;0;0.0;0.0
ABRASSO;KVANDERBEKE;ABRASSO;K.VANDERBEKE;8;1;4;12.5;50.0
ABRASSO;RMANGIONE;ABRASSO;R.MANGIONE;1;0;0;0.0;0.0
ABRAZOS;BRIANRODRIGOENRIQUE;ABRAZOS;BRIAN RODRIGO ENRIQUE;1;0;0;0.0;0.0
ABRAZOSETERNOS;FABIOEMANUELESCOBAR;ABRAZOS ETERNOS;FABIO EMANUEL ESCOBAR;1;0;0;0.0;0.0
ABRAZOSETERNOS;WILLIAMPEREYRA;ABRAZOS ETERNOS;WILLIAM PEREYRA;1;0;0;0.0;0.0
ABRILENOFEVER;WALDEMARMACIELBOCCIA;ABRILENO FEVER;WALDEMAR MACIEL BOCCIA;4;0;4;0.0;100.0
ABRINDAR;WILLIAMPEREYRA;A BRINDAR;WILLIAM PEREYRA;1;0;1;0.0;100.0
ABRONZAL;FLEFEBVRE;ABRONZAL;F.LEFEBVRE;1;0;1;0.0;100.0
ABRONZAL;FVALLESKAR;ABRONZAL;F.VALLE SKAR;2;0;0;0.0;0.0
ABRONZAL;LGALLO;ABRONZAL;L.GALLO;2;0;1;0.0;50.0
ABSACAR;RAYDAWSON;AB SACAR;RAY DAWSON;1;0;0;0.0;0.0
ABSACKER;SIBYLLEVOGT;ABSACKER;SIBYLLE VOGT;1;0;1;0.0;100.0
ABSHREK;VICTORSALGADO;ABSHREK;VICTOR SALGADO;2;0;0;0.0;0.0
ABSOLUTE;AMADAMET;ABSOLUTE;A.MADAMET;2;0;0;0.0;0.0
ABSOLUTE;CDEMURO;ABSOLUTE;C.DEMURO;1;0;0;0.0;0.0
ABSOLUTE;CPACAUT;ABSOLUTE;C.PACAUT;1;0;0;0.0;0.0
ABSOLUTEASSIGNMENT;WAYNELORDAN;ABSOLUTEASSIGNMENT;WAYNE LORDAN;1;0;0;0.0;0.0
ABSOLUTEAWAKENED;BOWMANH;ABSOLUTE AWAKENED;BOWMAN H.;1;0;0;0.0;0.0
ABSOLUTEAWAKENED;LEUNGKC;ABSOLUTE AWAKENED;LEUNG K.C.;1;0;0;0.0;0.0
ABSOLUTEAWAKENED;PURTONZ;ABSOLUTE AWAKENED;PURTON Z.;2;0;0;0.0;0.0
ABSOLUTEAWAKENED;YEUNGML;ABSOLUTE AWAKENED;YEUNG M.L.;1;0;0;0.0;0.0
ABSOLUTEHEART;LEUNGKC;ABSOLUTE HEART;LEUNG K.C.;1;1;1;100.0;100.0
ABSOLUTEHONOR;EJZAYAS;ABSOLUTE HONOR;E J ZAYAS;1;0;0;0.0;0.0
ABSOLUTEHONOR;MHUSBANDS;ABSOLUTE HONOR;M HUSBANDS;1;1;1;100.0;100.0
ABSOLUTEHONOUR;PURTONZ;ABSOLUTE HONOUR;PURTON Z.;2;0;1;0.0;50.0
ABSOLUTO;FVERON;ABSOLUTO;F.VERON;2;0;0;0.0;0.0
ABSOLUTO;MFOULON;ABSOLUTO;M.FOULON;1;0;0;0.0;0.0
ABUELAMARUCA;CARLOSANDRESROMERO;ABUELA MARUCA;CARLOS ANDRES ROMERO;1;0;0;0.0;0.0
ABUELAMARUCA;CARLOSSEBASTIANMENDEZ;ABUELA MARUCA;CARLOS SEBASTIAN MENDEZ;1;0;0;0.0;0.0
ABUELAMARUCA;LUCASURRUZMENDI;ABUELA MARUCA;LUCAS URRUZMENDI;1;0;0;0.0;0.0
ABUELANATA;JUANPABLOPAOLONI;ABUELA NATA;JUAN PABLO PAOLONI;1;1;1;100.0;100.0
ABUENPUERTO;JORGEMARCELINOORTIZ;A BUEN PUERTO;JORGE MARCELINO ORTIZ;2;0;1;0.0;50.0
ABUROYAL;SEANDYLANBOWEN;ABU ROYAL;SEAN DYLAN BOWEN;1;0;0;0.0;0.0
ABUSADA;CRISTIANMORENO;ABUSADA;CRISTIAN MORENO;1;0;0;0.0;0.0
ABYWAY;MMARQUETTE;ABYWAY;M.MARQUETTE;1;0;0;0.0;0.0
ACACUS;CONNORBEASLEY;ACACUS;CONNOR BEASLEY;1;0;0;0.0;0.0
ACACUS;SILVESTREDESOUSA;ACACUS;SILVESTRE DE SOUSA;1;0;0;0.0;0.0
ACADEMIA;IORTIZ,JR;ACADEMIA;I ORTIZ, JR.;1;0;0;0.0;0.0
ACADEMUS;WILLIAMPEREYRA;ACADEMUS;WILLIAM PEREYRA;1;0;0;0.0;0.0
ACAFAST;ORMANJ;ACA FAST;ORMAN J.;1;0;0;0.0;0.0
ACAPULCO;FACUNDOMARCELOCORIA;ACAPULCO;FACUNDO MARCELO CORIA;1;0;0;0.0;0.0
ACAPULCO;PABLODAMIANCARRIZO;ACAPULCO;PABLO DAMIAN CARRIZO;1;0;0;0.0;0.0
ACAPULCOBAY;BERNARDOPINHEIRO;ACAPULCO BAY;BERNARDO PINHEIRO;2;0;0;0.0;0.0
ACARY;AHAMELIN;ACARY;A.HAMELIN;4;1;1;25.0;25.0
ACATANA;CCARBONI;ACATANA;C.CARBONI;1;0;0;0.0;0.0
ACATANA;PCHEYER;ACATANA;P.CHEYER;1;0;1;0.0;100.0
ACCELERANDO;MGUTIERREZ;ACCELERANDO;M GUTIERREZ;1;0;0;0.0;0.0
ACCELERANDO;MHUSBANDS;ACCELERANDO;M HUSBANDS;1;0;0;0.0;0.0
ACCELERATEME;LSAEZ;ACCELERATE ME;L SAEZ;1;0;0;0.0;0.0
ACCENT;FPRAT;ACCENT;F PRAT;2;0;1;0.0;50.0
ACCEPTANCE;GMEURY;ACCEPTANCE;G.MEURY;1;0;0;0.0;0.0
ACCEPTANCE;JGUILLOCHON;ACCEPTANCE;J.GUILLOCHON;2;0;0;0.0;0.0
ACCEPTANCE;TBACHELOT;ACCEPTANCE;T.BACHELOT;2;0;0;0.0;0.0
ACCLAIMEDFREEDOM;CALLUMSHEPHERD;ACCLAIMED FREEDOM;CALLUM SHEPHERD;1;0;0;0.0;0.0
ACCLAIMEDFREEDOM;TOMMARQUAND;ACCLAIMED FREEDOM;TOM MARQUAND;1;0;1;0.0;100.0
ACCLAM;CSOUMILLON;ACCLAM;C.SOUMILLON;1;0;0;0.0;0.0
ACCLAM;HBOUTIN;ACCLAM;H.BOUTIN;1;0;0;0.0;0.0
ACCLAM;LBOISSEAU;ACCLAM;L.BOISSEAU;5;0;1;0.0;20.0
ACCLAM;LCARBONI;ACCLAM;L.CARBONI;1;0;0;0.0;0.0
ACCLAM;MCALBRIX;ACCLAM;M.CALBRIX;1;0;0;0.0;0.0
ACCLAM;MFAVRIAUX;ACCLAM;M.FAVRIAUX;1;0;0;0.0;0.0
ACCLAM;MGRANDIN;ACCLAM;M.GRANDIN;1;0;0;0.0;0.0
ACCLAM;MVELON;ACCLAM;M.VELON;1;0;0;0.0;0.0
ACCLAMATIONSTAR;MARCOGHIANI;ACCLAMATION STAR;MARCO GHIANI;1;0;0;0.0;0.0
ACCLAMATIONSTAR;OISINMURPHY;ACCLAMATION STAR;OISIN MURPHY;1;0;0;0.0;0.0
ACCREDIT;COLINKEANE;ACCREDIT;COLIN KEANE;1;0;0;0.0;0.0
ACCREDITED;RLMOORE;ACCREDITED;R.L. MOORE;1;0;0;0.0;0.0
ACE;CHAUCL;ACE;CHAU C.L.;2;0;0;0.0;0.0
ACE;GUYONM;ACE;GUYON M.;1;0;0;0.0;0.0
ACE;MGRANDIN;ACE;M.GRANDIN;2;0;0;0.0;0.0
ACE;TEETANK;ACE;TEETAN K.;1;0;0;0.0;0.0
ACECHAMPION;HOCY;ACE CHAMPION;HO C.Y.;2;0;1;0.0;50.0
ACECHAMPION;KINGSCOTER;ACE CHAMPION;KINGSCOTE R.;4;0;1;0.0;25.0
ACEEAGLE;PURTONZ;ACE EAGLE;PURTON Z.;1;0;1;0.0;100.0
ACEFROMSPACE;SCAMACHO;ACE FROM SPACE;S CAMACHO;1;0;0;0.0;0.0
ACEJACKDEUCE;RROJAS;ACE JACK DEUCE;R ROJAS;1;0;1;0.0;100.0
ACENTOFINAL;GUSTAVOEMILIANOCALVENTE;ACENTO FINAL;GUSTAVO EMILIANO CALVENTE;1;0;0;0.0;0.0
ACEOFSPADES;RENEPIECHULEK;ACE OF SPADES;RENE PIECHULEK;1;0;0;0.0;0.0
ACEPOWER;ATZENIA;ACE POWER;ATZENI A.;2;0;0;0.0;0.0
ACEPOWER;FERRARISL;ACE POWER;FERRARIS L.;2;0;0;0.0;0.0
ACEPOWER;PURTONZ;ACE POWER;PURTON Z.;2;0;1;0.0;50.0
ACEROCAT;FACUNDOMARCELOCORIA;ACERO CAT;FACUNDO MARCELO CORIA;1;0;0;0.0;0.0
ACEROSOFISTICADO;CESARLEONORCUELLAR;ACERO SOFISTICADO;CESAR LEONOR CUELLAR;1;0;0;0.0;0.0
ACEVENTURA;MMENESES;ACE VENTURA;M MENESES;1;0;1;0.0;100.0
ACEWAR;PURTONZ;ACE WAR;PURTON Z.;6;2;6;33.3;100.0
ACHALUGO;LEWISEDMUNDS;ACHALUGO;LEWIS EDMUNDS;1;0;0;0.0;0.0
ACHAPLINA;BASTIANALEJANDROSOTOVERGARA;ACHAPLINA;BASTIAN ALEJANDRO SOTO VERGARA;2;0;0;0.0;0.0
ACHERON;JBRAVO;ACHERON;J BRAVO;1;0;1;0.0;100.0
ACHERON;RMARAGH;ACHERON;R MARAGH;1;0;1;0.0;100.0
ACHIEVE;SCAMACHO;ACHIEVE;S CAMACHO;1;1;1;100.0;100.0
ACHILEACHOPE;MZSAHEBJAN;ACHILEA CHOPE;M.Z .SAHEBJAN;1;0;0;0.0;0.0
ACHILEACHOPE;SBREUX;ACHILEA CHOPE;S.BREUX;1;0;0;0.0;0.0
ACHILEACHOPE;STISON;ACHILEA CHOPE;S.TISON;1;0;0;0.0;0.0
ACHISPADA;FRANCODANIELMENENDEZ;ACHISPADA;FRANCO DANIEL MENENDEZ;1;0;0;0.0;0.0
ACHRAFZEMMOUR;NACIRAYMEN;ACHRAF ZEMMOUR;NACIR AYMEN;1;0;0;0.0;0.0
ACHTER;LUCASJESUSNORIEGACOBIAN;ACHTER;LUCAS JESUS NORIEGA COBIAN;1;0;0;0.0;0.0
ACIREALE;FACUNDOMARCELOCORIA;ACIREALE;FACUNDO MARCELO CORIA;2;0;1;0.0;50.0
ACIREALE;GONZALODAMIANBORDA;ACIREALE;GONZALO DAMIAN BORDA;1;0;1;0.0;100.0
ACLIS;ANDRESCASTILLOPINTO;ACLIS;ANDRES CASTILLO PINTO;2;0;1;0.0;50.0
ACLIS;DANIELGONZALOALVARADOYULAN;ACLIS;DANIEL GONZALO ALVARADO YULAN;1;0;1;0.0;100.0
ACLIS;JOSEJAIMEPAREDESRUIZ;ACLIS;JOSE JAIME PAREDES RUIZ;3;0;0;0.0;0.0
ACME;AGAVILAN;ACME;A.GAVILAN;1;0;0;0.0;0.0
ACME;BFLANDRIN;ACME;B.FLANDRIN;1;0;0;0.0;0.0
ACME;DBREUX;ACME;D.BREUX;1;0;0;0.0;0.0
ACME;LROUSSEL;ACME;L.ROUSSEL;1;0;0;0.0;0.0
ACOSTADETODO;BRIANRODRIGOENRIQUE;A COSTA DE TODO;BRIAN RODRIGO ENRIQUE;2;2;2;100.0;100.0
ACOTANGO;FVERON;ACOTANGO;F.VERON;1;0;1;0.0;100.0
ACOTANGO;HBOUTIN;ACOTANGO;H.BOUTIN;3;0;0;0.0;0.0
ACOTANGO;LGALLO;ACOTANGO;L.GALLO;5;3;5;60.0;100.0
ACOUNTACH;LILLI-MARIEENGELS;A COUNTACH;LILLI-MARIE ENGELS;1;0;0;0.0;0.0
ACOUNTACH;MICHAELAMALACOVA;A COUNTACH;MICHAELA MALACOVA;1;0;0;0.0;0.0
ACOUNTACH;MIGUELLOPEZ;A COUNTACH;MIGUEL LOPEZ;3;0;1;0.0;33.3
ACOUNTACH;PATRICKGIBSON;A COUNTACH;PATRICK GIBSON;1;0;0;0.0;0.0
ACOUSTICAVE;JLEZCANO;ACOUSTIC AVE;J LEZCANO;2;0;0;0.0;0.0
ACQUAROSA;AGAVILAN;ACQUA ROSA;A.GAVILAN;2;0;0;0.0;0.0
ACREGATE;LEGRAETTHEO;ACREGATE;LE GRAET THEO;1;0;0;0.0;0.0
ACREGATE;MFAVRIAUX;ACREGATE;M.FAVRIAUX;1;0;0;0.0;0.0
ACTAFOOL;PLOPEZ;ACT A FOOL;P LOPEZ;1;0;1;0.0;100.0
ACTINGLADY;WILLIAMBUICK;ACTING LADY;WILLIAM BUICK;1;1;1;100.0;100.0
ACTINGUP;RODRIGUEZMAXIMASERITO;ACTING UP;RODRIGUEZ MAXIM ASERITO;1;0;0;0.0;0.0
ACTION;DPMCDONOGH;ACTION;D.P. MCDONOGH;1;0;0;0.0;0.0
ACTION;WMLORDAN;ACTION;W. M. LORDAN;1;0;0;0.0;0.0
ACTIONDELIGHT;PPENA;ACTION DELIGHT;P PENA;1;0;1;0.0;100.0
ACTIONPOINT;BERNARDOPINHEIRO;ACTION POINT;BERNARDO PINHEIRO;4;0;1;0.0;25.0
ACTIONPOINT;JSANTIAGO;ACTION POINT;J SANTIAGO;1;0;0;0.0;0.0
ACTIONREACTION;BILLYLOUGHNANE;ACTION REACTION;BILLY LOUGHNANE;1;0;0;0.0;0.0
ACTIUS;MARTINANTONIOLAPALMA;ACTIUS;MARTIN ANTONIO LA PALMA;1;0;1;0.0;100.0
ACTO;ACRASTUS;ACTO;A.CRASTUS;2;0;1;0.0;50.0
ACTO;ALEMAITRE;ACTO;A.LEMAITRE;1;0;0;0.0;0.0
ACTO;CLECOEUVRE;ACTO;C.LECOEUVRE;3;0;0;0.0;0.0
ACTOFKINDNESS;BILLYLOUGHNANE;ACT OF KINDNESS;BILLY LOUGHNANE;1;0;0;0.0;0.0
ACTRIZCITY;ROLANDOIVANFRIAS;ACTRIZ CITY;ROLANDO IVAN FRIAS;1;0;0;0.0;0.0
ACTRIZCITY;THIAGOEVERLARREAFRUTOS;ACTRIZ CITY;THIAGO EVER LARREA FRUTOS;1;0;0;0.0;0.0
ACURRUCAO;NELSONANDRESROJAS;ACURRUCAO;NELSON ANDRES ROJAS;1;0;0;0.0;0.0
ADAAYOFSCARLETT;BILLYLOUGHNANE;ADAAY OF SCARLETT;BILLY LOUGHNANE;1;0;1;0.0;100.0
ADAAYOFSCARLETT;OISINMURPHY;ADAAY OF SCARLETT;OISIN MURPHY;1;0;1;0.0;100.0
ADACE;JOHNEGAN;ADACE;JOHN EGAN;1;0;0;0.0;0.0
ADAIYAD'OR;FVALLESKAR;ADAIYA D'OR;F.VALLE SKAR;1;0;0;0.0;0.0
ADAIYAD'OR;STOPIN;ADAIYA D'OR;S.TOPIN;1;0;0;0.0;0.0
ADALIDA;MARCOGHIANI;ADALIDA;MARCO GHIANI;1;0;0;0.0;0.0
ADALIE;CSUTHERLAND;ADALIE;C SUTHERLAND;1;0;0;0.0;0.0
ADAR;SIBYLLEVOGT;ADAR;SIBYLLE VOGT;1;0;0;0.0;0.0
ADAROSE;ROWANSCOTT;ADA ROSE;ROWAN SCOTT;1;0;0;0.0;0.0
ADAUGHTERSLOVE;JACKDOUGHTY;A DAUGHTERS LOVE;JACK DOUGHTY;1;0;1;0.0;100.0
ADDAGIRLADDIE;CELLIOTT;ADDAGIRL ADDIE;C ELLIOTT;1;0;0;0.0;0.0
ADDAGIRLADDIE;RSANTANA,JR;ADDAGIRL ADDIE;R SANTANA, JR.;1;0;0;0.0;0.0
ADDAOU;NACIRAYMEN;ADDAOU;NACIR AYMEN;1;0;0;0.0;0.0
ADDEBEL;GGUEDJ-GAY;AD DEBEL;G.GUEDJ-GAY;1;0;1;0.0;100.0
ADDEDTOUCH;JALVARADO;ADDED TOUCH;J ALVARADO;1;0;0;0.0;0.0
ADDICTEDTOLOVE;WILLIAMPEREYRA;ADDICTED TO LOVE;WILLIAM PEREYRA;1;0;1;0.0;100.0
ADELA;RDUBORD;ADELA;R.DUBORD;4;0;1;0.0;25.0
ADELAIDE;BENJAMINMARIE;ADELAIDE;BENJAMIN MARIE;1;0;1;0.0;100.0
ADELAIDEBAY;FINLEYMARSH;ADELAIDE BAY;FINLEY MARSH;1;0;0;0.0;0.0
ADELAIDEBAY;RHAVLIN;ADELAIDE BAY;R HAVLIN;1;0;0;0.0;0.0
ADELAIDERIVER;TOMMARQUAND;ADELAIDE RIVER;TOM MARQUAND;1;0;0;0.0;0.0
ADELSUN;GSANCHEZ;ADEL SUN;G.SANCHEZ;1;0;0;0.0;0.0
ADESANYA;CARLOSANDRESROMERO;ADESANYA;CARLOS ANDRES ROMERO;2;0;0;0.0;0.0
ADICCION;ACRASTUS;ADICCION;A.CRASTUS;1;0;0;0.0;0.0
ADICCION;CPACAUT;ADICCION;C.PACAUT;4;1;1;25.0;25.0
ADICCION;MGERMAIN;ADICCION;M.GERMAIN;2;0;2;0.0;100.0
ADICCION;SRUIS;ADICCION;S.RUIS;2;0;0;0.0;0.0
ADICCION;TTRULLIER;ADICCION;T.TRULLIER;1;0;0;0.0;0.0
ADICTA;ALEMAITRE;ADICTA;A.LEMAITRE;1;0;1;0.0;100.0
ADIL;FVERON;ADIL;F.VERON;1;0;1;0.0;100.0
ADINA;THOREHAMMER-HANSEN;ADINA;THORE HAMMER-HANSEN;1;0;0;0.0;0.0
ADIO;VANESACSERNAK;ADIO;VANESA CSERNAK;1;0;0;0.0;0.0
ADIOS;FELIPETAPIA;ADIOS;FELIPE TAPIA;3;0;0;0.0;0.0
ADIOSAMOR;PATRICKGIBSON;ADIOS AMOR;PATRICK GIBSON;2;1;1;50.0;50.0
ADIOSCOLE;DEGAN;ADIOS COLE;D EGAN;1;0;0;0.0;0.0
ADIOSCOLE;JALVARADO;ADIOS COLE;J ALVARADO;1;0;1;0.0;100.0
ADIOSSKY;MAURICIOEVILLARUEL;ADIOS SKY;MAURICIO E VILLARUEL;1;0;0;0.0;0.0
ADISHAKTI;FRANCISCOJESUSLAVIGNA;ADI SHAKTI;FRANCISCO JESUS LAVIGNA;1;0;0;0.0;0.0
ADISHAKTI;KEVINBANEGAS;ADI SHAKTI;KEVIN BANEGAS;1;1;1;100.0;100.0
ADISHAKTI;WILLIAMPEREYRA;ADI SHAKTI;WILLIAM PEREYRA;1;0;1;0.0;100.0
ADJOE;BAUYRZHANMURZABAYEV;ADJOE;BAUYRZHAN MURZABAYEV;1;0;0;0.0;0.0
ADJOE;NINABALTROMEI;ADJOE;NINA BALTROMEI;3;1;2;33.3;66.7
ADJOE;SEANBYRNE;ADJOE;SEAN BYRNE;1;0;0;0.0;0.0
ADJOE;SIBYLLEVOGT;ADJOE;SIBYLLE VOGT;1;0;0;0.0;0.0
ADLANSENORA;CLECOEUVRE;ADLAN SENORA;C.LECOEUVRE;5;1;1;20.0;20.0
ADLANSENORA;EHARDOUIN;ADLAN SENORA;E.HARDOUIN;1;0;0;0.0;0.0
ADMIRALDENNIS;IORTIZ,JR;ADMIRAL DENNIS;I ORTIZ, JR.;1;0;0;0.0;0.0
ADMIRALJOY;RAMIRORODOLFOBARRUECO;ADMIRAL JOY;RAMIRO RODOLFO BARRUECO;2;0;0;0.0;0.0
ADMIREDBEAUTY;DECLANMCDONOGH;ADMIRED BEAUTY;DECLAN MCDONOGH;1;0;1;0.0;100.0
ADONATA;GONZALOLAUTAROMANSILLA;ADONATA;GONZALO LAUTARO MANSILLA;2;0;0;0.0;0.0
ADONIDE;APOUCHIN;ADONIDE;A.POUCHIN;1;0;0;0.0;0.0
ADONIDE;CSOUMILLON;ADONIDE;C.SOUMILLON;2;0;0;0.0;0.0
ADONIDE;LBRECHET;ADONIDE;L.BRECHET;1;0;0;0.0;0.0
ADONIDE;RTHOMAS;ADONIDE;R.THOMAS;1;0;1;0.0;100.0
ADORA;CPACAUT;ADORA;C.PACAUT;1;0;0;0.0;0.0
ADORA;FVALLESKAR;ADORA;F.VALLE SKAR;2;0;0;0.0;0.0
ADORABLE;CPACAUT;ADORABLE;C.PACAUT;1;0;0;0.0;0.0
ADORADORIM;ANIBALJOSECABRERA;ADORADO RIM;ANIBAL JOSE CABRERA;1;0;0;0.0;0.0
ADORADORIM;LUCASFRANCISCOGONZALEZ;ADORADO RIM;LUCAS FRANCISCO GONZALEZ;1;0;0;0.0;0.0
ADORAEMOTION;ADRIANMAXIMILIANOGIANNETTI;ADORA EMOTION;ADRIAN MAXIMILIANO GIANNETTI;1;0;0;0.0;0.0
ADRASTEIA;KKIMURA;ADRASTEIA;K KIMURA;1;0;0;0.0;0.0
ADRASTINA;SSTLARYLEROY;ADRASTINA;S.ST LARY LEROY;1;0;0;0.0;0.0
ADRIAN;RESERVISTE4MTO;ADRIAN;RESERVISTE 4 MTO;1;0;0;0.0;0.0
ADROIT;KDAVIS;ADROIT;K DAVIS;1;0;0;0.0;0.0
ADVANCED;EPEREZ;ADVANCED;E PEREZ;1;1;1;100.0;100.0
