Cheval_clean;Jockey_clean;Cheval;Jockey;Courses;Victoires;Podiums;Taux_victoire;Taux_podium
KINGOFFURY;SEANKIRRANE;KING OF FURY;SEAN KIRRANE;1;0;0;0.0;0.0
KINGOFHOLLYWOOD;JGONZALEZ;KING OF HOLLYWOOD;J GONZALEZ;1;0;0;0.0;0.0
KINGOFITHACA;ROBHORNBY;KING OF ITHACA;ROB HORNBY;1;0;0;0.0;0.0
KINGOFLIGHT;MARCOGHIANI;KING OF LIGHT;MARCO GHIANI;1;0;0;0.0;0.0
KINGOFROME;MICHAELCADEDDU;KING OF ROME;MICHAEL CADEDDU;1;0;0;0.0;0.0
KINGOFSELECTION;CHADWICKM;KING OF SELECTION;CHADWICK M.;1;0;0;0.0;0.0
KINGOFSELECTION;CHAUCL;KING OF SELECTION;CHAU C.L.;3;0;0;0.0;0.0
KINGOFSELECTION;YEUNGML;KING OF SELECTION;YEUNG M.L.;1;0;0;0.0;0.0
KINGOFTHECARNIVAL;HOLLIEDOYLE;KINGOFTHECARNIVAL;HOLLIE DOYLE;2;1;1;50.0;50.0
KINGOFTHEWORLD;BAPAIVALOPES;KING OF THE WORLD;BA.PAIVA LOPES;4;0;1;0.0;25.0
KINGOFTHEWORLD;HMOUESAN;KING OF THE WORLD;H.MOUESAN;1;0;0;0.0;0.0
KINGOFTHEWORLD;MLAURON;KING OF THE WORLD;M.LAURON;1;0;0;0.0;0.0
KINGOFTHEWORLD;RSOUSAFERREIRA;KING OF THE WORLD;R.SOUSA FERREIRA;1;1;1;100.0;100.0
KINGOFTIME;MICHAELSHEEHY;KING OF TIME;MICHAEL SHEEHY;1;0;0;0.0;0.0
KINGOFYORK;KIERANO'NEILL;KING OF YORK;KIERAN O'NEILL;1;0;1;0.0;100.0
KINGOFYORKSHIRE;JACKGARRITTY;KING OF YORKSHIRE;JACK GARRITTY;1;0;0;0.0;0.0
KINGORI;ACRASTUS;KINGORI;A.CRASTUS;1;0;1;0.0;100.0
KINGORI;CPACAUT;KINGORI;C.PACAUT;1;0;1;0.0;100.0
KINGORI;HBOUTIN;KINGORI;H.BOUTIN;2;0;0;0.0;0.0
KINGORI;JMAJORCRYK;KINGORI;J.MAJORCRYK;1;1;1;100.0;100.0
KINGORI;MGRANDIN;KINGORI;M.GRANDIN;2;2;2;100.0;100.0
KINGORI;MVELON;KINGORI;M.VELON;2;0;0;0.0;0.0
KINGPAPER;JORGEIGNACIOBAEZARIVEROS;KING PAPER;JORGE IGNACIO BAEZA RIVEROS;2;0;0;0.0;0.0
KINGPAPER;JOSEDANIELVILLAGRAN;KING PAPER;JOSE DANIEL VILLAGRAN;2;0;0;0.0;0.0
KINGPAPER;RONALDFABIANOFOURNET;KING PAPER;RONALD FABIANO FOURNET;2;0;0;0.0;0.0
KINGPRINCE;DDAVIS;KING PRINCE;D DAVIS;1;0;0;0.0;0.0
KINGPROFIT;PURTONZ;KING PROFIT;PURTON Z.;1;0;0;0.0;0.0
KINGPROFIT;WONGECW;KING PROFIT;WONG E.C.W.;3;1;3;33.3;100.0
KINGPUCK;JRVELAZQUEZ;KING PUCK;J R VELAZQUEZ;1;0;0;0.0;0.0
KINGPUT;MARIANOGABRIELREY;KING PUT;MARIANO GABRIEL REY;1;0;0;0.0;0.0
KINGRETURN;CSOUMILLON;KING RETURN;C.SOUMILLON;1;0;0;0.0;0.0
KINGRETURN;GTROLLEYDEPREVAUX;KING RETURN;G.TROLLEY DE PREVAUX;2;0;0;0.0;0.0
KINGRETURN;RMANGIONE;KING RETURN;R.MANGIONE;4;0;1;0.0;25.0
KINGROBBE;FVALLESKAR;KING ROBBE;F.VALLE SKAR;1;0;0;0.0;0.0
KINGROBBE;HBOUTIN;KING ROBBE;H.BOUTIN;4;0;1;0.0;25.0
