Cheval_clean;Hippo;Cheval;Hippodrome;Courses;Victoires;Podiums;Moyenne_classement;Derniere_course;Taux_victoire;Taux_podium;Jours_depuis
ABANDERADAZUN;MARONAS;ABANDERADA ZUN;MARONAS;2;0;1;8.0;2026-06-07;0.0;50.0;44.0
ABANDERADOHENN;PALERMO;ABANDERADO HENN;PALERMO;1;0;1;2.0;2026-03-14;0.0;100.0;129.0
ABANDO;FFOS LAS;ABANDO;FFOS LAS;1;0;0;7.0;2026-06-23;0.0;0.0;28.0
ABANDO;WOLVERHAMPTON;ABANDO;WOLVERHAMPTON;1;0;0;0.0;2026-01-05;0.0;0.0;197.0
ABASHIRI;CURRAGH;ABASHIRI;CURRAGH;1;0;1;3.0;2026-05-24;0.0;100.0;58.0
ABASHIRI;NEWMARKET;ABASHIRI;NEWMARKET;1;0;0;5.0;2026-05-30;0.0;0.0;52.0
ABASHIRI;SARATOGA;ABASHIRI;SARATOGA;1;0;0;8.0;2026-07-04;0.0;0.0;17.0
ABBA'SANTON;BAD HARZBURG;ABBA'S ANTON;BAD HARZBURG;1;0;1;3.0;2026-07-18;0.0;100.0;3.0
ABBA'SANTON;BADEN-BADEN;ABBA'S ANTON;BADEN-BADEN;1;0;0;8.0;2026-06-07;0.0;0.0;44.0
ABBA'SANTON;DUSSELDORF;ABBA'S ANTON;DUSSELDORF;1;0;0;4.0;2026-04-12;0.0;0.0;100.0
ABBEYROAD;DEAUVILLE;ABBEY ROAD;DEAUVILLE;1;0;1;3.0;2026-06-27;0.0;100.0;24.0
ABBEYROAD;SAINT-CLOUD;ABBEY ROAD;SAINT-CLOUD;3;1;1;4.333333333333333;2026-05-29;33.3;33.3;53.0
ABBOTSFORD;CURRAGH;ABBOTSFORD;CURRAGH;1;0;0;0.0;2026-07-19;0.0;0.0;2.0
ABBOU;PINJARRA AUSTRALIE;ABBOU;PINJARRA AUSTRALIE;1;0;0;4.0;2026-03-22;0.0;0.0;121.0
ABDULHAMID;DORTMUND;ABDULHAMID;DORTMUND;1;0;0;6.0;2026-06-21;0.0;0.0;30.0
ABDULHAMID;DUSSELDORF;ABDULHAMID;DUSSELDORF;1;0;1;3.0;2026-05-31;0.0;100.0;51.0
ABDULHAMID;HAMBOURG HORN;ABDULHAMID;HAMBOURG HORN;1;0;1;2.0;2026-07-04;0.0;100.0;17.0
ABDULHAMID;HOPPEGARTEN;ABDULHAMID;HOPPEGARTEN;1;0;0;8.0;2026-07-19;0.0;0.0;2.0
ABEARAFFAIR;ASCOT;A BEAR AFFAIR;ASCOT;1;0;0;6.0;2026-06-17;0.0;0.0;34.0
ABEARAFFAIR;DONCASTER;A BEAR AFFAIR;DONCASTER;1;1;1;1.0;2026-03-28;100.0;100.0;115.0
ABEAUREGARD;CAGNES/MER;A BEAUREGARD;CAGNES/MER;1;0;0;6.0;2026-02-24;0.0;0.0;147.0
ABEAUREGARD;COMPIEGNE;A BEAUREGARD;COMPIEGNE;1;0;0;7.0;2026-06-20;0.0;0.0;31.0
ABEAUREGARD;FONTAINEBLEAU;A BEAUREGARD;FONTAINEBLEAU;1;0;0;10.0;2026-03-31;0.0;0.0;112.0
ABEAUREGARD;ParisLongchamp;A BEAUREGARD;ParisLongchamp;1;0;0;6.0;2026-04-23;0.0;0.0;89.0
ABEAUREGARD;STRASBOURG;A BEAUREGARD;STRASBOURG;1;0;0;16.0;2026-05-27;0.0;0.0;55.0
ABELARDF;CHANTILLY;ABELARD F;CHANTILLY;3;1;1;4.333333333333333;2026-03-30;33.3;33.3;113.0
ABELARDF;DEAUVILLE;ABELARD F;DEAUVILLE;1;0;0;5.0;2026-01-08;0.0;0.0;194.0
ABELARDF;ParisLongchamp;ABELARD F;ParisLongchamp;1;0;0;15.0;2026-04-30;0.0;0.0;82.0
ABELINOC;MARONAS;ABELINO C;MARONAS;1;0;0;7.0;2026-04-19;0.0;0.0;93.0
ABIAT;CAGNES/MER;ABIAT;CAGNES/MER;1;0;0;7.0;2026-01-12;0.0;0.0;190.0
ABIAT;CHANTILLY;ABIAT;CHANTILLY;2;1;1;8.0;2026-03-12;50.0;50.0;131.0
ABIAT;ParisLongchamp;ABIAT;ParisLongchamp;3;0;1;6.0;2026-06-04;0.0;33.3;47.0
ABIEL;CONCEPCION;ABIEL;CONCEPCION;3;0;0;7.0;2026-06-30;0.0;0.0;21.0
ABIENTOT;GULFSTREAM PARK;ABIENTOT;GULFSTREAM PARK;1;0;1;3.0;2026-02-06;0.0;100.0;165.0
ABIGAIL;AQUEDUCT;ABIGAIL;AQUEDUCT;1;0;1;3.0;2026-06-11;0.0;100.0;40.0
ABIGAILADAMS;MARONAS;ABIGAIL ADAMS;MARONAS;2;0;0;6.0;2026-04-25;0.0;0.0;87.0
ABLEQUEEN;BAD HARZBURG;ABLE QUEEN;BAD HARZBURG;1;0;0;6.0;2026-07-18;0.0;0.0;3.0
ABLETAI;CURRAGH;ABLETAI;CURRAGH;1;0;0;6.0;2026-07-19;0.0;0.0;2.0
ABLON;KEMPTON PARK;ABLON;KEMPTON PARK;2;1;2;1.5;2026-02-25;50.0;100.0;146.0
ABOMBADA;SANTIAGO;ABOMBADA;SANTIAGO;2;0;0;3.5;2026-04-17;0.0;0.0;95.0
ABOURBONFORTOBY;LAUREL PARK USA;A BOURBON FOR TOBY;LAUREL PARK USA;1;0;1;2.0;2026-05-16;0.0;100.0;66.0
ABOYNAMEDSUSIE;CHANTILLY;A BOY NAMED SUSIE;CHANTILLY;1;0;0;4.0;2026-05-31;0.0;0.0;51.0
ABOYNAMEDSUSIE;SANDOWN PARK;A BOY NAMED SUSIE;SANDOWN PARK;1;0;1;2.0;2026-07-04;0.0;100.0;17.0
ABRAHAMLINCOLN;NEWMARKET;ABRAHAM LINCOLN;NEWMARKET;1;0;1;2.0;2026-07-11;0.0;100.0;10.0
ABRAKADABRA;SAINT-CLOUD;ABRAKADABRA;SAINT-CLOUD;1;0;0;13.0;2026-03-29;0.0;0.0;114.0
ABRAMSCREEK;AVENCHES;ABRAMS CREEK;AVENCHES;2;0;0;4.0;2026-07-18;0.0;0.0;3.0
ABRASSO;CHANTILLY;ABRASSO;CHANTILLY;2;0;0;5.5;2026-04-14;0.0;0.0;98.0
ABRASSO;DEAUVILLE;ABRASSO;DEAUVILLE;1;0;1;3.0;2026-01-09;0.0;100.0;193.0
ABRASSO;DIEPPE;ABRASSO;DIEPPE;2;0;0;9.0;2026-07-13;0.0;0.0;8.0
ABRASSO;EVREUX;ABRASSO;EVREUX;1;1;1;1.0;2026-05-26;100.0;100.0;56.0
ABRASSO;LE CROISE LAROCHE;ABRASSO;LE CROISE LAROCHE;2;0;1;1.0;2026-05-17;0.0;50.0;65.0
ABRASSO;ParisLongchamp;ABRASSO;ParisLongchamp;1;0;0;9.0;2026-05-30;0.0;0.0;52.0
ABRASSO;SAINT-CLOUD;ABRASSO;SAINT-CLOUD;1;0;1;3.0;2026-06-12;0.0;100.0;39.0
ABRAZOOLVIDADO;VALPARAISO;ABRAZO OLVIDADO;VALPARAISO;1;0;0;10.0;2026-07-20;0.0;0.0;1.0
ABRAZOS;PALERMO;ABRAZOS;PALERMO;1;0;0;5.0;2026-01-15;0.0;0.0;187.0
ABRAZOSETERNOS;SAN ISIDRO;ABRAZOS ETERNOS;SAN ISIDRO;2;0;0;6.5;2026-04-10;0.0;0.0;102.0
ABRILENOFEVER;MARONAS;ABRILENO FEVER;MARONAS;4;0;4;2.5;2026-06-07;0.0;100.0;44.0
ABRINDAR;PALERMO;A BRINDAR;PALERMO;1;0;1;3.0;2026-01-30;0.0;100.0;172.0
ABRONZAL;COMPIEGNE;ABRONZAL;COMPIEGNE;2;0;0;6.0;2026-06-13;0.0;0.0;38.0
ABRONZAL;DIEPPE;ABRONZAL;DIEPPE;1;0;1;3.0;2026-06-23;0.0;100.0;28.0
ABRONZAL;NANTES;ABRONZAL;NANTES;1;0;1;2.0;2026-05-29;0.0;100.0;53.0
ABRONZAL;SAINT-CLOUD;ABRONZAL;SAINT-CLOUD;1;0;0;6.0;2026-07-08;0.0;0.0;13.0
ABSACAR;MEYDAN (E.A.U);AB SACAR;MEYDAN (E.A.U);1;0;0;12.0;2026-01-16;0.0;0.0;186.0
ABSACKER;DORTMUND;ABSACKER;DORTMUND;1;0;1;3.0;2026-06-21;0.0;100.0;30.0
ABSHREK;MEYDAN (E.A.U);ABSHREK;MEYDAN (E.A.U);2;0;0;7.0;2026-01-16;0.0;0.0;186.0
ABSOLUTE;CAGNES/MER;ABSOLUTE;CAGNES/MER;1;0;0;7.0;2026-01-27;0.0;0.0;175.0
ABSOLUTE;CHANTILLY;ABSOLUTE;CHANTILLY;1;0;0;15.0;2026-02-19;0.0;0.0;152.0
ABSOLUTE;PONT DE VIVAUX;ABSOLUTE;PONT DE VIVAUX;2;0;0;5.5;2026-02-10;0.0;0.0;161.0
ABSOLUTEASSIGNMENT;CURRAGH;ABSOLUTEASSIGNMENT;CURRAGH;1;0;0;17.0;2026-07-18;0.0;0.0;3.0
ABSOLUTEAWAKENED;HAPPY VALLEY;ABSOLUTE AWAKENED;HAPPY VALLEY;5;0;0;7.0;2026-06-10;0.0;0.0;41.0
ABSOLUTEHEART;SHA TIN (HONG KONG);ABSOLUTE HEART;SHA TIN (HONG KONG);1;1;1;1.0;2026-06-21;100.0;100.0;30.0
ABSOLUTEHONOR;AQUEDUCT;ABSOLUTE HONOR;AQUEDUCT;1;0;0;7.0;2026-06-27;0.0;0.0;24.0
ABSOLUTEHONOR;GULFSTREAM PARK;ABSOLUTE HONOR;GULFSTREAM PARK;1;1;1;1.0;2026-02-05;100.0;100.0;166.0
ABSOLUTEHONOUR;SHA TIN (HONG KONG);ABSOLUTE HONOUR;SHA TIN (HONG KONG);2;0;1;3.5;2026-06-13;0.0;50.0;38.0
ABSOLUTO;DAX;ABSOLUTO;DAX;1;0;0;12.0;2026-05-10;0.0;0.0;72.0
ABSOLUTO;LA TESTE;ABSOLUTO;LA TESTE;1;0;0;10.0;2026-06-11;0.0;0.0;40.0
ABSOLUTO;TARBES;ABSOLUTO;TARBES;1;0;0;8.0;2026-07-30;0.0;0.0;-9.0
ABUELAMARUCA;MARONAS;ABUELA MARUCA;MARONAS;3;0;0;5.333333333333333;2026-04-26;0.0;0.0;86.0
ABUELANATA;PALERMO;ABUELA NATA;PALERMO;1;1;1;1.0;2026-02-20;100.0;100.0;151.0
ABUENPUERTO;PALERMO;A BUEN PUERTO;PALERMO;2;0;1;1.0;2026-03-20;0.0;50.0;123.0
ABUROYAL;SOUTHWELL;ABU ROYAL;SOUTHWELL;1;0;0;5.0;2026-02-05;0.0;0.0;166.0
ABUSADA;MARONAS;ABUSADA;MARONAS;1;0;0;0.0;2026-01-18;0.0;0.0;184.0
ABYWAY;LE LION D'ANGERS;ABYWAY;LE LION D'ANGERS;1;0;0;0.0;2026-04-05;0.0;0.0;107.0
ACACUS;MEYDAN (E.A.U);ACACUS;MEYDAN (E.A.U);2;0;0;12.5;2026-01-16;0.0;0.0;186.0
ACADEMIA;GULFSTREAM PARK;ACADEMIA;GULFSTREAM PARK;1;0;0;6.0;2026-01-30;0.0;0.0;172.0
ACADEMUS;PALERMO;ACADEMUS;PALERMO;1;0;0;7.0;2026-01-30;0.0;0.0;172.0
ACAFAST;SHA TIN (HONG KONG);ACA FAST;SHA TIN (HONG KONG);1;0;0;12.0;2026-07-10;0.0;0.0;11.0
