Cheval_clean;Terrain_clean;Cheval;Terrain;Courses;Victoires;Podiums;Moyenne_classement;Taux_victoire;Taux_podium
ABANDO;QUATRE_ANS_ET_PLUS;ABANDO;QUATRE_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
ABASHIRI;HERBE;ABASHIRI;HERBE;1;0;0;8.0;0.0;0.0
ABASHIRI;TROIS_ANS;ABASHIRI;TROIS_ANS;2;0;1;4.0;0.0;50.0
ABBA'SANTON;HERBE;ABBA'S ANTON;HERBE;2;0;1;5.5;0.0;50.0
ABBA'SANTON;TROIS_ANS_ET_PLUS;ABBA'S ANTON;TROIS_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
ABBEYROAD;GAZON;ABBEY ROAD;GAZON;1;0;1;3.0;0.0;100.0
ABBEYROAD;HERBE;ABBEY ROAD;HERBE;3;1;1;4.333333333333333;33.3;33.3
ABBOTSFORD;TROIS_ANS_ET_PLUS;ABBOTSFORD;TROIS_ANS_ET_PLUS;1;0;0;0.0;0.0;0.0
ABBOU;DEUX_ANS_ET_PLUS;ABBOU;DEUX_ANS_ET_PLUS;1;0;0;4.0;0.0;0.0
ABDULHAMID;HERBE;ABDULHAMID;HERBE;4;0;2;4.75;0.0;50.0
ABEARAFFAIR;HERBE;A BEAR AFFAIR;HERBE;2;1;1;3.5;50.0;50.0
ABEAUREGARD;HERBE;A BEAUREGARD;HERBE;5;0;0;9.0;0.0;0.0
ABELARDF;GAZON;ABELARD F;GAZON;4;1;1;4.5;25.0;25.0
ABELARDF;HERBE;ABELARD F;HERBE;1;0;0;15.0;0.0;0.0
ABELINOC;DEUX_ANS;ABELINO C;DEUX_ANS;1;0;0;7.0;0.0;0.0
ABIAT;GAZON;ABIAT;GAZON;3;1;1;7.666666666666667;33.3;33.3
ABIAT;HERBE;ABIAT;HERBE;3;0;1;6.0;0.0;33.3
ABIEL;GAZON;ABIEL;GAZON;3;0;0;7.0;0.0;0.0
ABIENTOT;HERBE;ABIENTOT;HERBE;1;0;1;3.0;0.0;100.0
ABIGAIL;HERBE;ABIGAIL;HERBE;1;0;1;3.0;0.0;100.0
ABIGAILADAMS;DIRT;ABIGAIL ADAMS;DIRT;1;0;0;6.0;0.0;0.0
ABIGAILADAMS;GAZON;ABIGAIL ADAMS;GAZON;1;0;0;6.0;0.0;0.0
ABLEQUEEN;HERBE;ABLE QUEEN;HERBE;1;0;0;6.0;0.0;0.0
ABLETAI;DEUX_ANS;ABLETAI;DEUX_ANS;1;0;0;6.0;0.0;0.0
ABLON;GAZON;ABLON;GAZON;2;1;2;1.5;50.0;100.0
ABOMBADA;GAZON;ABOMBADA;GAZON;1;0;0;0.0;0.0;0.0
ABOMBADA;TROIS_ANS_ET_PLUS;ABOMBADA;TROIS_ANS_ET_PLUS;1;0;0;7.0;0.0;0.0
ABOURBONFORTOBY;HERBE;A BOURBON FOR TOBY;HERBE;1;0;1;2.0;0.0;100.0
ABOYNAMEDSUSIE;HERBE;A BOY NAMED SUSIE;HERBE;2;0;1;3.0;0.0;50.0
