Cheval_clean;Cheval;Courses;Victoires;Podiums;Gains_max;Gains_total;Taux_victoire;Taux_podium
AABICHA;AABICHA;1;0;0;300000;300000;0.0;0.0
AAJEJ;AAJEJ;1;0;0;1113200;1113200;0.0;0.0
AALAHAB;AA LAHAB;2;0;1;38000000;71000000;0.0;50.0
AALTO;AALTO;2;1;2;14006300;27529200;50.0;100.0
AAMERICTESPECSO;A AMERIC TE SPECSO;8;0;0;1011080000;8038415000;0.0;0.0
AARXBURN;AA RX BURN;1;0;0;23050000;23050000;0.0;0.0
AATRUFFLE;AA TRUFFLE;1;0;0;0;0;0.0;0.0
ABABORFEVER;ABABOR FEVER;2;1;1;412536000;585072000;50.0;50.0
ABACAB;ABACAB;1;0;0;0;0;0.0;0.0
ABACHI;ABACHI;1;0;0;1530000;1530000;0.0;0.0
ABACUR;ABACUR;9;0;1;3921200;34597400;0.0;11.1
ABACUS;ABACUS;3;1;1;975000;1050000;33.3;33.3
ABANA;ABANA;1;0;0;0;0;0.0;0.0
ABANDERADAZUN;ABANDERADA ZUN;2;0;1;17024000;17024000;0.0;50.0
ABANDERADOHENN;ABANDERADO HENN;1;0;1;82320000;82320000;0.0;100.0
ABANDO;ABANDO;2;0;0;1186400;2165300;0.0;0.0
ABASHIRI;ABASHIRI;3;0;1;7701900;8133900;0.0;33.3
ABBA'SANTON;ABBA'S ANTON;3;0;1;692500;1997500;0.0;33.3
ABBEYROAD;ABBEY ROAD;4;1;2;1465400;2700400;25.0;50.0
ABBOTSFORD;ABBOTSFORD;1;0;0;300000;300000;0.0;0.0
ABBOU;ABBOU;1;0;0;10519300;10519300;0.0;0.0
ABDULHAMID;ABDULHAMID;4;0;2;1062500;2975000;0.0;50.0
ABEARAFFAIR;A BEAR AFFAIR;2;1;1;2378600;2378600;50.0;50.0
ABEAUREGARD;A BEAUREGARD;5;0;0;6690700;32944700;0.0;0.0
ABELARDF;ABELARD F;5;1;1;14877100;71327900;20.0;20.0
ABELINOC;ABELINO C;1;0;0;0;0;0.0;0.0
ABIAT;ABIAT;6;1;2;7819300;40500700;16.7;33.3
ABIEL;ABIEL;3;0;0;0;0;0.0;0.0
ABIENTOT;ABIENTOT;1;0;1;37455000;37455000;0.0;100.0
ABIGAIL;ABIGAIL;1;0;1;4316500;4316500;0.0;100.0
ABIGAILADAMS;ABIGAIL ADAMS;2;0;0;7680000;15360000;0.0;0.0
ABLEQUEEN;ABLE QUEEN;1;0;0;0;0;0.0;0.0
ABLETAI;ABLETAI;1;0;0;430000;430000;0.0;0.0
ABLON;ABLON;2;1;2;253500;253500;50.0;100.0
ABOMBADA;ABOMBADA;2;0;0;378630000;756270000;0.0;0.0
ABOURBONFORTOBY;A BOURBON FOR TOBY;1;0;1;22618500;22618500;0.0;100.0
ABOYNAMEDSUSIE;A BOY NAMED SUSIE;2;0;1;15766300;25859300;0.0;50.0
ABRAHAMLINCOLN;ABRAHAM LINCOLN;1;0;1;1280400;1280400;0.0;100.0
ABRAKADABRA;ABRAKADABRA;1;0;0;0;0;0.0;0.0
ABRAMSCREEK;ABRAMS CREEK;2;0;0;9495000;18449900;0.0;0.0
ABRASSO;ABRASSO;10;1;4;7761200;68690400;10.0;40.0
ABRAZOS;ABRAZOS;1;0;0;2392645000;2392645000;0.0;0.0
ABRAZOSETERNOS;ABRAZOS ETERNOS;2;0;0;1269240000;2538480000;0.0;0.0
ABRILENOFEVER;ABRILENO FEVER;4;0;4;0;0;0.0;100.0
ABRINDAR;A BRINDAR;1;0;1;0;0;0.0;100.0
ABRONZAL;ABRONZAL;5;0;2;772300;2225900;0.0;40.0
ABSACAR;AB SACAR;1;0;0;11100000;11100000;0.0;0.0
ABSACKER;ABSACKER;1;0;1;160000;160000;0.0;100.0
ABSHREK;ABSHREK;2;0;0;12437500;24875000;0.0;0.0
ABSOLUTE;ABSOLUTE;4;0;0;4054200;15895200;0.0;0.0
ABSOLUTEASSIGNMENT;ABSOLUTEASSIGNMENT;1;0;0;300000;300000;0.0;0.0
ABSOLUTEAWAKENED;ABSOLUTE AWAKENED;5;0;0;92430000;448695000;0.0;0.0
ABSOLUTEHEART;ABSOLUTE HEART;1;1;1;65520000;65520000;100.0;100.0
ABSOLUTEHONOR;ABSOLUTE HONOR;2;1;1;7537500;10995000;50.0;50.0
ABSOLUTEHONOUR;ABSOLUTE HONOUR;2;0;1;128115000;242775000;0.0;50.0
ABSOLUTO;ABSOLUTO;3;0;0;0;0;0.0;0.0
ABUELAMARUCA;ABUELA MARUCA;3;0;0;89168000;249624000;0.0;0.0
ABUELANATA;ABUELA NATA;1;1;1;3023540000;3023540000;100.0;100.0
ABUENPUERTO;A BUEN PUERTO;2;0;1;931045000;1829985000;0.0;50.0
ABUROYAL;ABU ROYAL;1;0;0;1324300;1324300;0.0;0.0
ABUSADA;ABUSADA;1;0;0;170404000;170404000;0.0;0.0
ABYWAY;ABYWAY;1;0;0;0;0;0.0;0.0
ACACUS;ACACUS;2;0;0;8889500;17779000;0.0;0.0
ACADEMIA;ACADEMIA;1;0;0;1600000;1600000;0.0;0.0
ACADEMUS;ACADEMUS;1;0;0;9974765000;9974765000;0.0;0.0
ACAFAST;ACA FAST;1;0;0;0;0;0.0;0.0
ACAPULCO;ACAPULCO;2;0;0;1400560000;2781240000;0.0;0.0
ACAPULCOBAY;ACAPULCO BAY;2;0;0;25085600;50171200;0.0;0.0
ACARY;ACARY;4;1;1;1457300;3136900;25.0;25.0
ACATANA;ACATANA;2;0;1;1184400;2347200;0.0;50.0
